seed,alpha,R_statistic,iou_thresh,n_cal_all_null_clusters,total_tp_clusters,total_tp_candidates,sa_rej,sa_fp,sa_tp,sa_fdp_pooled,sa_family_fdp_mean,sa_recall_object,base_rej,base_fp,base_tp,base_fdp_pooled,base_family_fdp_mean,base_recall_candidate,base_recall_object
0,0.05,top2_mean_phi,0.5,3622,433,715,116,3,113,0.02586206896551724,0.0026070763500931097,0.26096997690531176,111,3,108,0.02702702702702703,0.0026070763500931097,0.15104895104895105,0.24480369515011546
0,0.1,top2_mean_phi,0.5,3622,433,715,137,5,132,0.0364963503649635,0.004158907510862818,0.30484988452655887,133,4,129,0.03007518796992481,0.0032278088144009932,0.18041958041958042,0.29330254041570436
0,0.15,top2_mean_phi,0.5,3622,433,715,165,9,156,0.05454545454545454,0.009745499689633766,0.36027713625866054,156,6,150,0.038461538461538464,0.006021104903786468,0.2097902097902098,0.3371824480369515
0,0.2,top2_mean_phi,0.5,3622,433,715,175,10,165,0.05714285714285714,0.010552451893234015,0.3810623556581986,173,8,165,0.046242774566473986,0.008690254500310366,0.23076923076923078,0.371824480369515
1,0.05,top2_mean_phi,0.5,3551,425,660,105,1,104,0.009523809523809525,0.00186219739292365,0.2447058823529412,96,1,95,0.010416666666666666,0.00186219739292365,0.14393939393939395,0.2235294117647059
1,0.1,top2_mean_phi,0.5,3551,425,660,154,6,148,0.03896103896103896,0.004540100908815993,0.34823529411764703,155,6,149,0.03870967741935484,0.004519409826672397,0.22575757575757577,0.34823529411764703
1,0.15,top2_mean_phi,0.5,3551,425,660,179,8,171,0.0446927374301676,0.007295776848849474,0.4023529411764706,174,7,167,0.040229885057471264,0.006381607219596047,0.25303030303030305,0.3905882352941176
1,0.2,top2_mean_phi,0.5,3551,425,660,195,12,183,0.06153846153846154,0.01226163656331254,0.43058823529411766,193,10,183,0.05181347150259067,0.011020171634696773,0.2772727272727273,0.4211764705882353
2,0.05,top2_mean_phi,0.5,3351,407,672,99,7,92,0.0707070707070707,0.010552451893234015,0.22604422604422605,102,9,93,0.08823529411764706,0.0111731843575419,0.13839285714285715,0.22604422604422605
2,0.1,top2_mean_phi,0.5,3351,407,672,122,13,109,0.10655737704918032,0.013904407200496587,0.2678132678132678,118,11,107,0.09322033898305085,0.013656114214773432,0.15922619047619047,0.257985257985258
2,0.15,top2_mean_phi,0.5,3351,407,672,140,14,126,0.1,0.015766604593420237,0.3095823095823096,136,12,124,0.08823529411764706,0.01551831160769708,0.18452380952380953,0.29484029484029484
2,0.2,top2_mean_phi,0.5,3351,407,672,150,16,134,0.10666666666666667,0.019490999379267536,0.32923832923832924,144,13,131,0.09027777777777778,0.01738050900062073,0.1949404761904762,0.31203931203931207
3,0.05,top2_mean_phi,0.5,4118,384,609,123,2,121,0.016260162601626018,0.002793296089385475,0.3151041666666667,120,2,118,0.016666666666666666,0.002793296089385475,0.19376026272577998,0.3046875
3,0.1,top2_mean_phi,0.5,4118,384,609,138,4,134,0.028985507246376812,0.004655493482309125,0.3489583333333333,140,4,136,0.02857142857142857,0.004655493482309125,0.2233169129720854,0.3515625
3,0.15,top2_mean_phi,0.5,4118,384,609,157,6,151,0.03821656050955414,0.008379888268156424,0.3932291666666667,154,6,148,0.03896103896103896,0.008379888268156424,0.24302134646962234,0.3802083333333333
3,0.2,top2_mean_phi,0.5,4118,384,609,166,9,157,0.05421686746987952,0.01303538175046555,0.4088541666666667,171,10,161,0.05847953216374269,0.013345747982619489,0.26436781609195403,0.4140625
4,0.05,top2_mean_phi,0.5,3955,396,647,92,1,91,0.010869565217391304,0.00186219739292365,0.2297979797979798,94,2,92,0.02127659574468085,0.0037243947858473,0.14219474497681608,0.23232323232323232
4,0.1,top2_mean_phi,0.5,3955,396,647,120,4,116,0.03333333333333333,0.004965859714463066,0.29292929292929293,118,5,113,0.0423728813559322,0.006828057107386715,0.17465224111282843,0.28535353535353536
4,0.15,top2_mean_phi,0.5,3955,396,647,133,8,125,0.06015037593984962,0.010552451893234015,0.31565656565656564,130,7,123,0.05384615384615385,0.010552451893234015,0.1901081916537867,0.30808080808080807
4,0.2,top2_mean_phi,0.5,3955,396,647,148,9,139,0.060810810810810814,0.01148355058969584,0.351010101010101,148,10,138,0.06756756756756757,0.013345747982619489,0.2132921174652241,0.34595959595959597
5,0.05,top2_mean_phi,0.5,3836,445,718,120,3,117,0.025,0.004345127250155184,0.26292134831460673,117,2,115,0.017094017094017096,0.0037243947858473,0.16016713091922005,0.25617977528089886
5,0.1,top2_mean_phi,0.5,3836,445,718,155,7,148,0.04516129032258064,0.008741982205669357,0.3325842696629214,147,6,141,0.04081632653061224,0.006879784812745707,0.19637883008356546,0.3146067415730337
5,0.15,top2_mean_phi,0.5,3836,445,718,167,8,159,0.04790419161676647,0.009652389819987586,0.35730337078651686,172,8,164,0.046511627906976744,0.009635460752779188,0.22841225626740946,0.36629213483146067
5,0.2,top2_mean_phi,0.5,3836,445,718,181,10,171,0.055248618784530384,0.011870097624287567,0.3842696629213483,180,9,171,0.05,0.011497658145702838,0.2381615598885794,0.38202247191011235
