prompt,sum_phi,n_null,min_null
toilet,200.66341602589327,236,100
pastry,212.57315830484052,231,100
box,135.8953638919112,187,100
cake,278.6491206554207,178,100
chalice,136.62732990267483,177,100
masher,201.0866749613671,149,100
syringe,115.13237532816308,128,100
paperweight,107.89052252820086,122,100
strawberry,78.60880486015562,114,100
first-aid_kit,87.28468815567646,113,100
hinge,85.31905774410738,106,100
dollar,80.3982394014356,106,100
subwoofer,94.35291986740782,100,100
pencil_sharpener,71.29931901938336,100,100
sunflower,116.30197345780304,98,100
plume,68.40817893577015,97,100
armor,144.7134689737226,94,100
penny_(coin),60.15437190994856,91,100
skullcap,82.60642208272372,90,100
clementine,91.8684457744407,89,100
pegboard,79.05675383989963,88,100
cloak,58.89743239552792,86,100
phonebook,58.32313584946328,86,100
gorilla,92.48337608772897,84,100
log,52.97102077397346,84,100
wheel,64.14901242732157,82,100
Tabasco_sauce,49.844819678676735,80,100
coil,62.503465530380424,79,100
broccoli,73.55430893241332,78,100
file_(tool),61.12882428045384,76,100
streetlight,47.04396567443514,76,100
radar,76.55586594213081,74,100
hippopotamus,61.67868735074172,74,100
salad_plate,56.91145944779596,74,100
water_gun,55.14435316283822,74,100
birthday_card,62.18314910765395,72,100
traffic_light,55.181924578122015,71,100
cockroach,52.815269492066086,71,100
bubble_gum,73.98369212741322,69,100
lamb-chop,65.74086987476805,69,100
prune,98.00694753608174,68,100
cabinet,63.183127840159955,68,100
street_sign,59.71566264161638,68,100
triangle_(musical_instrument),54.81976478969185,67,100
corkboard,69.95258406395932,66,100
car_battery,52.07161927288904,66,100
chaise_longue,43.9310239793127,66,100
surfboard,55.887549012155105,64,100
pirate_flag,51.39366244560586,64,100
paperback_book,43.51809633500208,64,100
grits,87.57428841533493,63,100
falcon,53.451107663898505,62,100
pug-dog,53.928824594039554,61,100
chain_mail,40.80889355654684,61,100
hair_curler,76.25758419021413,59,100
wardrobe,57.23612675290033,59,100
scrubbing_brush,36.3743576110289,58,100
pendulum,47.57018481006366,57,100
dress,41.24625281017511,57,100
puffin,104.52213867607773,56,100
wolf,49.70100937509403,56,100
nailfile,40.40698432847153,56,100
electric_chair,37.308463081880475,56,100
parchment,65.49514915174295,55,100
speaker_(stero_equipment),44.38510385470137,55,100
dagger,29.37987450204503,55,100
handcuff,98.9427822164238,54,100
tequila,48.481219299421184,54,100
bow_(weapon),41.45428041606694,54,100
jewel,41.17833046435341,54,100
spear,36.66133487002146,54,100
person,134.20948945365174,53,100
griddle,49.091769629556254,53,100
stylus,47.690339724460166,52,100
trench_coat,44.89624931155872,52,100
mammoth,64.76437343859762,51,100
hat,40.67314351279588,51,100
cleat_(for_securing_rope),34.46073335219296,51,100
cylinder,69.6159021722709,49,100
nutcracker,36.445405430384895,49,100
chime,36.282901737237765,49,100
blimp,38.53617145256821,48,100
bus_(vehicle),24.65352055625314,48,100
root_beer,58.934491171424966,47,100
batter_(food),46.11209439197821,47,100
water_heater,37.715566198178294,47,100
ballet_skirt,36.49695721406246,47,100
headset,28.551608286555627,47,100
funnel,60.74793211198702,46,100
popsicle,52.96016930755031,46,100
thimble,41.915973355680684,46,100
arctic_(type_of_shoe),40.616932381479245,46,100
seaplane,33.57046976329054,46,100
ferret,69.44163150497228,45,100
garbage,44.96696501202341,45,100
tobacco_pipe,43.06182728025303,45,100
brass_plaque,33.955310373611745,45,100
elevator_car,60.71129421651004,44,100
lasagna,59.83050086059378,44,100
rib_(food),41.73654648695928,44,100
kitchen_table,43.12447053462834,43,100
boom_microphone,41.875033284983594,43,100
fedora,31.611978450485495,43,100
scraper,65.25515819435634,42,100
rodent,42.769603974139784,42,100
doughnut,35.722616202678424,42,100
pudding,33.214974704829146,42,100
saucepan,47.10816625648861,41,100
short_pants,34.072256174805155,41,100
dropper,31.50827604426229,41,100
bowling_ball,26.58347893270221,41,100
backpack,60.44942273054595,40,100
chocolate_mousse,39.98404782352834,40,100
string_cheese,39.431388143377816,40,100
die,39.382292008716384,40,100
cocoa_(beverage),30.506608487903744,40,100
chocolate_milk,29.643844333622585,40,100
vodka,45.158089803612356,39,100
blanket,37.242192899845584,39,100
pipe,30.49698835532993,39,100
beachball,61.52310375779929,38,100
comic_book,38.94710221160403,38,100
shower_cap,35.71861833307613,38,100
fudge,33.03883308762558,38,100
fishbowl,30.315056114930318,38,100
pipe_bowl,29.39384371450528,38,100
joystick,28.60933633389409,37,100
lanyard,27.86899327304822,37,100
pinwheel,27.578069823184595,37,100
lamp,25.181160191871584,37,100
keg,23.359204925628415,37,100
puncher,57.441735806037094,36,100
persimmon,53.8818775810073,36,100
reflector,47.93377927829755,36,100
baboon,31.26724393087025,36,100
cone,25.237758938906122,36,100
road_map,55.21194705030929,35,100
steak_knife,32.832712377460034,35,100
breechcloth,30.499865717828353,35,100
generator,26.85087357300714,35,100
sawhorse,46.34662916373272,34,100
tachometer,27.925342714738367,34,100
chessboard,22.119064159548014,34,100
stagecoach,80.55776985449171,33,100
hummus,36.68088838342986,33,100
bell,24.142220224888298,33,100
jersey,23.77723421002758,33,100
mint_candy,22.552075386526116,33,100
taco,57.59336053274345,32,100
soup_bowl,35.55112109986655,32,100
swimsuit,31.23421277509913,32,100
drone,28.135444045796177,32,100
rhinoceros,27.985415131226254,32,100
ping-pong_ball,25.055049931511263,32,100
octopus_(animal),56.452990981808554,31,100
mouse_(computer_equipment),24.238024144912877,31,100
drumstick,54.38747722176439,30,100
diary,53.98030091386566,30,100
boxing_glove,24.32431043948944,30,100
knocker_(on_a_door),23.617336872286383,30,100
heron,23.263834783062936,30,100
hardback_book,21.923940756836082,30,100
octopus_(food),19.60205134175852,30,100
plow_(farm_equipment),18.344182931084905,30,100
puppet,56.67228434560498,29,100
hamper,38.53133456115158,29,100
walrus,29.193085322692774,29,100
hot-air_balloon,22.265967256879776,29,100
mushroom,21.25914751405085,29,100
