method,alpha,total_rejections,fdp,recall
betting,0.05,8.645656043415828,0.02540296558807786,0.019692802401244835
betting,0.1,13.402572416085691,0.027594354932745837,0.029872614953365108
betting,0.15,17.085774322825593,0.02649522950576396,0.03826138792702428
betting,0.2,20.961116884666037,0.027412033744974033,0.046630962446025076
binary,0.05,6.708203932499369,0.0,0.015176931973980472
binary,0.1,9.167878707749137,0.0,0.020741807031106646
binary,0.15,13.192801067248759,0.018949728622879573,0.027318477553164848
binary,0.2,41.622362410506916,0.03984496028923767,0.08576170510589282
pvalue_bh,0.05,19.805368756449536,0.034171993820490625,0.03935114747564874
pvalue_bh,0.1,28.17478342512382,0.03497129971537205,0.050248900578847844
pvalue_bh,0.15,30.15678329907499,0.033627386791425656,0.05064735391305896
pvalue_bh,0.2,33.35593531970932,0.03347765262445335,0.05077536260094126
