alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,seed,method,cal_null_size,n_cal
0.05,251,35,44,0,44,0.0,0.10401891252955082,0.0,0,betting,all,935
0.1,251,47,58,0,58,0.0,0.13711583924349882,0.0,0,betting,all,935
0.15,251,50,63,0,63,0.0,0.14893617021276595,0.0,0,betting,all,935
0.2,251,63,79,1,78,0.012658227848101266,0.18439716312056736,0.0013280212483399733,0,betting,all,935
0.05,251,35,39,0,39,0.0,0.08628318584070796,0.0,1,betting,all,1011
0.1,251,44,53,2,51,0.03773584905660377,0.11283185840707964,0.0015936254980079682,1,betting,all,1011
0.15,251,53,62,2,60,0.03225806451612903,0.13274336283185842,0.0015936254980079682,1,betting,all,1011
0.2,251,63,76,2,74,0.02631578947368421,0.16371681415929204,0.0015936254980079682,1,betting,all,1011
0.05,251,30,34,0,34,0.0,0.0774487471526196,0.0,2,betting,all,1057
0.1,251,37,41,0,41,0.0,0.09339407744874716,0.0,2,betting,all,1057
0.15,251,39,45,0,45,0.0,0.10250569476082004,0.0,2,betting,all,1057
0.2,251,47,56,0,56,0.0,0.1275626423690205,0.0,2,betting,all,1057
0.05,251,30,38,0,38,0.0,0.07883817427385892,0.0,3,betting,all,1022
0.1,251,39,54,0,54,0.0,0.11203319502074689,0.0,3,betting,all,1022
0.15,251,44,60,0,60,0.0,0.12448132780082988,0.0,3,betting,all,1022
0.2,251,50,68,0,68,0.0,0.14107883817427386,0.0,3,betting,all,1022
0.05,251,28,29,1,28,0.034482758620689655,0.05870020964360587,0.00398406374501992,4,betting,all,1052
0.1,251,32,33,1,32,0.030303030303030304,0.06708595387840671,0.00398406374501992,4,betting,all,1052
0.15,251,33,34,1,33,0.029411764705882353,0.06918238993710692,0.00398406374501992,4,betting,all,1052
0.2,251,38,41,1,40,0.024390243902439025,0.08385744234800839,0.00398406374501992,4,betting,all,1052
0.05,251,20,21,2,19,0.09523809523809523,0.0420353982300885,0.00796812749003984,5,betting,all,1055
0.1,251,20,21,2,19,0.09523809523809523,0.0420353982300885,0.00796812749003984,5,betting,all,1055
0.15,251,20,21,2,19,0.09523809523809523,0.0420353982300885,0.00796812749003984,5,betting,all,1055
0.2,251,20,21,2,19,0.09523809523809523,0.0420353982300885,0.00796812749003984,5,betting,all,1055
0.05,251,30,31,0,31,0.0,0.07345971563981042,0.0,6,betting,all,1075
0.1,251,43,47,1,46,0.02127659574468085,0.10900473933649289,0.00398406374501992,6,betting,all,1075
0.15,251,48,52,1,51,0.019230769230769232,0.12085308056872038,0.00398406374501992,6,betting,all,1075
0.2,251,52,62,3,59,0.04838709677419355,0.13981042654028436,0.0069721115537848604,6,betting,all,1075
0.05,251,25,26,1,25,0.038461538461538464,0.06561679790026247,0.00398406374501992,7,betting,all,1248
0.1,251,26,27,2,25,0.07407407407407407,0.06561679790026247,0.00796812749003984,7,betting,all,1248
0.15,251,26,27,2,25,0.07407407407407407,0.06561679790026247,0.00796812749003984,7,betting,all,1248
0.2,251,26,27,2,25,0.07407407407407407,0.06561679790026247,0.00796812749003984,7,betting,all,1248
0.05,251,29,37,2,35,0.05405405405405406,0.07972665148063782,0.00796812749003984,8,betting,all,997
0.1,251,36,44,2,42,0.045454545454545456,0.09567198177676538,0.00796812749003984,8,betting,all,997
0.15,251,40,50,2,48,0.04,0.10933940774487472,0.00796812749003984,8,betting,all,997
0.2,251,43,53,2,51,0.03773584905660377,0.11617312072892938,0.00796812749003984,8,betting,all,997
0.05,251,33,36,1,35,0.027777777777777776,0.07972665148063782,0.00398406374501992,9,betting,all,1024
0.1,251,40,46,1,45,0.021739130434782608,0.10250569476082004,0.00398406374501992,9,betting,all,1024
0.15,251,44,51,1,50,0.0196078431372549,0.11389521640091116,0.00398406374501992,9,betting,all,1024
0.2,251,50,60,1,59,0.016666666666666666,0.13439635535307518,0.00398406374501992,9,betting,all,1024
0.05,251,38,43,0,43,0.0,0.09534368070953436,0.0,10,betting,all,1103
0.1,251,47,55,1,54,0.01818181818181818,0.1197339246119734,0.0013280212483399733,10,betting,all,1103
0.15,251,58,76,2,74,0.02631578947368421,0.164079822616408,0.0015936254980079682,10,betting,all,1103
0.2,251,65,86,5,81,0.05813953488372093,0.17960088691796008,0.00249003984063745,10,betting,all,1103
0.05,251,18,18,0,18,0.0,0.0400890868596882,0.0,11,betting,all,1218
0.1,251,18,18,0,18,0.0,0.0400890868596882,0.0,11,betting,all,1218
0.15,251,18,18,0,18,0.0,0.0400890868596882,0.0,11,betting,all,1218
0.2,251,18,18,0,18,0.0,0.0400890868596882,0.0,11,betting,all,1218
0.05,251,44,48,2,46,0.041666666666666664,0.10672853828306264,0.00796812749003984,12,betting,all,931
0.1,251,52,58,2,56,0.034482758620689655,0.12993039443155452,0.00796812749003984,12,betting,all,931
0.15,251,55,64,2,62,0.03125,0.14385150812064965,0.00796812749003984,12,betting,all,931
0.2,251,64,77,3,74,0.03896103896103896,0.1716937354988399,0.0099601593625498,12,betting,all,931
0.05,251,19,19,0,19,0.0,0.045563549160671464,0.0,13,betting,all,1011
0.1,251,19,19,0,19,0.0,0.045563549160671464,0.0,13,betting,all,1011
0.15,251,19,19,0,19,0.0,0.045563549160671464,0.0,13,betting,all,1011
0.2,251,19,19,0,19,0.0,0.045563549160671464,0.0,13,betting,all,1011
0.05,251,28,35,0,35,0.0,0.07936507936507936,0.0,14,betting,all,1014
0.1,251,35,44,0,44,0.0,0.09977324263038549,0.0,14,betting,all,1014
0.15,251,40,51,0,51,0.0,0.11564625850340136,0.0,14,betting,all,1014
0.2,251,47,60,0,60,0.0,0.1360544217687075,0.0,14,betting,all,1014
0.05,251,30,33,0,33,0.0,0.08048780487804878,0.0,15,betting,all,1102
0.1,251,37,41,0,41,0.0,0.1,0.0,15,betting,all,1102
0.15,251,47,52,0,52,0.0,0.12682926829268293,0.0,15,betting,all,1102
0.2,251,57,63,0,63,0.0,0.15365853658536585,0.0,15,betting,all,1102
0.05,251,38,45,1,44,0.022222222222222223,0.10068649885583524,0.00398406374501992,16,betting,all,814
0.1,251,42,53,2,51,0.03773584905660377,0.11670480549199085,0.00796812749003984,16,betting,all,814
0.15,251,52,63,2,61,0.031746031746031744,0.13958810068649885,0.00796812749003984,16,betting,all,814
0.2,251,62,76,2,74,0.02631578947368421,0.16933638443935928,0.00796812749003984,16,betting,all,814
0.05,251,35,42,1,41,0.023809523809523808,0.09276018099547512,0.00398406374501992,17,betting,all,1119
0.1,251,51,62,2,60,0.03225806451612903,0.13574660633484162,0.00597609561752988,17,betting,all,1119
0.15,251,54,66,2,64,0.030303030303030304,0.14479638009049775,0.00597609561752988,17,betting,all,1119
0.2,251,56,68,2,66,0.029411764705882353,0.1493212669683258,0.00597609561752988,17,betting,all,1119
0.05,251,32,34,0,34,0.0,0.08095238095238096,0.0,18,betting,all,965
0.1,251,40,44,0,44,0.0,0.10476190476190476,0.0,18,betting,all,965
0.15,251,51,57,0,57,0.0,0.1357142857142857,0.0,18,betting,all,965
0.2,251,54,62,0,62,0.0,0.14761904761904762,0.0,18,betting,all,965
0.05,251,38,42,1,41,0.023809523809523808,0.09832134292565947,0.00398406374501992,19,betting,all,701
0.1,251,44,51,3,48,0.058823529411764705,0.11510791366906475,0.0099601593625498,19,betting,all,701
0.15,251,54,62,3,59,0.04838709677419355,0.14148681055155876,0.0099601593625498,19,betting,all,701
