seed,alpha,R_statistic,iou_thresh,n_cal_all_null_clusters,total_tp_clusters,total_tp_candidates,sa_rej,sa_fp,sa_tp,sa_fdp_pooled,sa_family_fdp_mean,sa_recall_object,base_rej,base_fp,base_tp,base_fdp_pooled,base_family_fdp_mean,base_recall_candidate,base_recall_object
0,0.05,max_phi,0.7,5128,715,715,111,3,108,0.02702702702702703,0.0026070763500931097,0.15104895104895105,111,3,108,0.02702702702702703,0.0026070763500931097,0.15104895104895105,0.15104895104895105
0,0.1,max_phi,0.7,5128,715,715,133,4,129,0.03007518796992481,0.0032278088144009932,0.18041958041958042,133,4,129,0.03007518796992481,0.0032278088144009932,0.18041958041958042,0.18041958041958042
0,0.15,max_phi,0.7,5128,715,715,156,6,150,0.038461538461538464,0.006021104903786468,0.2097902097902098,156,6,150,0.038461538461538464,0.006021104903786468,0.2097902097902098,0.2097902097902098
0,0.2,max_phi,0.7,5128,715,715,173,8,165,0.046242774566473986,0.008690254500310366,0.23076923076923078,173,8,165,0.046242774566473986,0.008690254500310366,0.23076923076923078,0.23076923076923078
1,0.05,max_phi,0.7,5218,660,660,96,1,95,0.010416666666666666,0.00186219739292365,0.14393939393939395,96,1,95,0.010416666666666666,0.00186219739292365,0.14393939393939395,0.14393939393939395
1,0.1,max_phi,0.7,5218,660,660,155,6,149,0.03870967741935484,0.004519409826672397,0.22575757575757577,155,6,149,0.03870967741935484,0.004519409826672397,0.22575757575757577,0.22575757575757577
1,0.15,max_phi,0.7,5218,660,660,174,7,167,0.040229885057471264,0.006381607219596047,0.25303030303030305,174,7,167,0.040229885057471264,0.006381607219596047,0.25303030303030305,0.25303030303030305
1,0.2,max_phi,0.7,5218,660,660,193,10,183,0.05181347150259067,0.011020171634696773,0.2772727272727273,193,10,183,0.05181347150259067,0.011020171634696773,0.2772727272727273,0.2772727272727273
2,0.05,max_phi,0.7,4569,672,672,102,9,93,0.08823529411764706,0.0111731843575419,0.13839285714285715,102,9,93,0.08823529411764706,0.0111731843575419,0.13839285714285715,0.13839285714285715
2,0.1,max_phi,0.7,4569,672,672,118,11,107,0.09322033898305085,0.013656114214773432,0.15922619047619047,118,11,107,0.09322033898305085,0.013656114214773432,0.15922619047619047,0.15922619047619047
2,0.15,max_phi,0.7,4569,672,672,136,12,124,0.08823529411764706,0.01551831160769708,0.18452380952380953,136,12,124,0.08823529411764706,0.01551831160769708,0.18452380952380953,0.18452380952380953
2,0.2,max_phi,0.7,4569,672,672,144,13,131,0.09027777777777778,0.01738050900062073,0.1949404761904762,144,13,131,0.09027777777777778,0.01738050900062073,0.1949404761904762,0.1949404761904762
3,0.05,max_phi,0.7,6073,609,609,120,2,118,0.016666666666666666,0.002793296089385475,0.19376026272577998,120,2,118,0.016666666666666666,0.002793296089385475,0.19376026272577998,0.19376026272577998
