method,alpha,total_rejections,fdp,recall
betting,0.05,15.0,0.014149066252481812,0.06163466062907643
betting,0.1,31.2,0.036841704345970276,0.1264655701572232
betting,0.15,40.2,0.04455071548396481,0.16164804062147362
betting,0.2,45.9,0.048069019058905794,0.1836604360275325
binary,0.05,4.3,0.0011111111111111111,0.014988503189437768
binary,0.1,9.55,0.002784715284715285,0.03530608109819416
binary,0.15,8.5,0.0015957446808510637,0.029253819908025513
binary,0.2,18.95,0.008646564877908162,0.07210746952846483
pvalue_bh,0.05,61.35,0.03288622157640782,0.2535397985292864
pvalue_bh,0.1,97.1,0.05644040979686045,0.39094406892324407
pvalue_bh,0.15,120.25,0.06656560724848007,0.47710775323081533
pvalue_bh,0.2,141.55,0.08617773810596341,0.5481302952498083
