method,alpha,total_rejections,fdp,recall
betting,0.05,13.806939521391712,0.024616742197306096,0.05667770908682976
betting,0.1,11.910190241089659,0.030119175706594503,0.04061320452472697
betting,0.15,12.318578181797307,0.030273071065188156,0.03629846906608097
betting,0.2,15.196606269337346,0.03307173268868497,0.04659941140351405
binary,0.05,13.251017835781917,0.004969039949999533,0.04632056862096439
binary,0.1,24.63304370363645,0.00873065200414076,0.08693751518783856
binary,0.15,26.324893162176366,0.007136387162233371,0.09008920981314497
binary,0.2,34.82962290319761,0.017512545726441654,0.12918460288863803
pvalue_bh,0.05,24.64116154131666,0.026310404023119537,0.09748711164495612
pvalue_bh,0.1,25.034502507329233,0.023496261857852304,0.08867917983884456
pvalue_bh,0.15,28.003524214302967,0.024274594496890088,0.07955224772318902
pvalue_bh,0.2,31.30238766746413,0.027185618292550062,0.0773331977991518
