alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,score_floor,total_pruned,seed,method,stratum
0.2,118,38,44,3,41,0.06818181818181818,0.2662337662337662,0.014124293785310733,0.0,0,4,betting,K<=5
0.2,17,9,20,3,17,0.15,0.1349206349206349,0.09558823529411764,0.0,0,4,betting,5<K<=30
0.2,1,1,9,0,9,0.0,0.21951219512195122,0.0,0.0,0,4,betting,K>30
0.05,127,0,0,0,0,0.0,0.0,0.0,0.0,0,5,betting,K<=5
0.05,9,0,0,0,0,0.0,0.0,0.0,0.0,0,5,betting,5<K<=30
0.05,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,betting,K>30
0.1,127,15,16,0,16,0.0,0.09411764705882353,0.0,0.0,0,5,betting,K<=5
0.1,9,0,0,0,0,0.0,0.0,0.0,0.0,0,5,betting,5<K<=30
0.1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,betting,K>30
0.15,127,22,25,0,25,0.0,0.14705882352941177,0.0,0.0,0,5,betting,K<=5
0.15,9,0,0,0,0,0.0,0.0,0.0,0.0,0,5,betting,5<K<=30
0.15,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,betting,K>30
0.2,127,22,25,0,25,0.0,0.14705882352941177,0.0,0.0,0,5,betting,K<=5
0.2,9,0,0,0,0,0.0,0.0,0.0,0.0,0,5,betting,5<K<=30
0.2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,betting,K>30
0.05,128,26,31,0,31,0.0,0.1987179487179487,0.0,0.0,0,6,betting,K<=5
0.05,7,1,3,1,2,0.3333333333333333,0.07692307692307693,0.047619047619047616,0.0,0,6,betting,5<K<=30
0.05,1,0,0,0,0,0.0,0.0,0.0,0.0,0,6,betting,K>30
0.1,128,31,37,1,36,0.02702702702702703,0.23076923076923078,0.0078125,0.0,0,6,betting,K<=5
0.1,7,1,3,1,2,0.3333333333333333,0.07692307692307693,0.047619047619047616,0.0,0,6,betting,5<K<=30
0.1,1,0,0,0,0,0.0,0.0,0.0,0.0,0,6,betting,K>30
0.15,128,32,38,1,37,0.02631578947368421,0.23717948717948717,0.0078125,0.0,0,6,betting,K<=5
0.15,7,2,5,3,2,0.6,0.07692307692307693,0.19047619047619047,0.0,0,6,betting,5<K<=30
0.15,1,0,0,0,0,0.0,0.0,0.0,0.0,0,6,betting,K>30
0.2,128,32,38,1,37,0.02631578947368421,0.23717948717948717,0.0078125,0.0,0,6,betting,K<=5
0.2,7,3,6,3,3,0.5,0.11538461538461539,0.19047619047619047,0.0,0,6,betting,5<K<=30
0.2,1,0,0,0,0,0.0,0.0,0.0,0.0,0,6,betting,K>30
0.05,126,15,18,0,18,0.0,0.10465116279069768,0.0,0.0,0,7,betting,K<=5
0.05,9,0,0,0,0,0.0,0.0,0.0,0.0,0,7,betting,5<K<=30
0.05,1,0,0,0,0,0.0,0.0,0.0,0.0,0,7,betting,K>30
0.1,126,26,30,1,29,0.03333333333333333,0.1686046511627907,0.007936507936507936,0.0,0,7,betting,K<=5
0.1,9,2,5,1,4,0.2,0.0851063829787234,0.037037037037037035,0.0,0,7,betting,5<K<=30
0.1,1,0,0,0,0,0.0,0.0,0.0,0.0,0,7,betting,K>30
0.15,126,33,37,3,34,0.08108108108108109,0.19767441860465115,0.023809523809523808,0.0,0,7,betting,K<=5
0.15,9,3,7,1,6,0.14285714285714285,0.1276595744680851,0.037037037037037035,0.0,0,7,betting,5<K<=30
0.15,1,0,0,0,0,0.0,0.0,0.0,0.0,0,7,betting,K>30
0.2,126,33,37,3,34,0.08108108108108109,0.19767441860465115,0.023809523809523808,0.0,0,7,betting,K<=5
0.2,9,6,10,1,9,0.1,0.19148936170212766,0.037037037037037035,0.0,0,7,betting,5<K<=30
0.2,1,0,0,0,0,0.0,0.0,0.0,0.0,0,7,betting,K>30
