prompt,count,mean,std,min,max,q50,q90,q99
cow,160,0.13833993237931277,0.10883600495774921,0.0503513105213642,0.6648778915405273,0.09073311462998385,0.2798314750194549,0.5258863168954848
person,5336,0.13338709164430373,0.1110271802725475,0.0500108078122139,0.8437355756759644,0.08717280253767964,0.29174280166625977,0.5497435092926025
parking meter,104,0.13168247631536076,0.12463182426428399,0.0515494346618652,0.7330482602119446,0.08768921718001366,0.287818518280983,0.6259423273801803
sheep,160,0.13165086894296105,0.11442233834575921,0.0500539690256118,0.5839222073554993,0.08546596020460126,0.3037747114896774,0.5633500790596008
chair,1585,0.12738225614469884,0.09457791911077622,0.0500132404267787,0.5645812749862671,0.0876734182238578,0.29434492588043243,0.3992477130889892
hot dog,100,0.12306961841881271,0.08214032623138678,0.0520308539271354,0.4280305206775665,0.09436598792672149,0.22279288917779927,0.3856437888741495
pizza,180,0.1197029864415526,0.09447195556129172,0.0500166751444339,0.5876713395118713,0.0804296731948852,0.2248982533812522,0.4824421033263212
couch,141,0.11822668690207998,0.11111136654323019,0.0506769008934497,0.7997996807098389,0.0785032510757446,0.2203795909881591,0.5860618948936458
refrigerator,149,0.11606244197827853,0.0765357652206274,0.0502820611000061,0.3960594534873962,0.0867136195302009,0.22848257124423985,0.3679650771617894
horse,165,0.11509079836083176,0.10662101561162927,0.0502149537205696,0.7779121398925781,0.0761376768350601,0.23471701443195336,0.536622645854945
toothbrush,117,0.11417512602021547,0.10517742113920434,0.0500736311078071,0.848319411277771,0.0710165202617645,0.21770296692848215,0.5333259487152108
apple,461,0.11414219592566599,0.09754549789095532,0.0500496253371238,0.8238007426261902,0.0779753774404525,0.2080861330032348,0.552614152431488
broccoli,756,0.1140723087672124,0.0790656150314561,0.0500110425055027,0.48196542263031,0.08238356932997701,0.22962227463722226,0.41786490678787286
teddy bear,287,0.11383741657908365,0.07940679978079995,0.0500003844499588,0.6276041269302368,0.0862548798322677,0.21248795092105868,0.3853560727834693
vase,297,0.11350046913531488,0.0846365936530398,0.0500384755432605,0.6362316012382507,0.0825815722346305,0.21294870078563685,0.4309044730663299
orange,166,0.11251262476645316,0.10011074319571678,0.0506327338516712,0.6690465807914734,0.0787006393074989,0.201944001019001,0.657257369160652
cat,97,0.11121706587752113,0.11632420087851814,0.0500504188239574,0.6936072111129761,0.0704970136284828,0.17353462874889394,0.617887320518493
bear,120,0.1105879395268857,0.08113067223592146,0.050064954906702,0.5548398494720459,0.08093318343162531,0.21119751334190365,0.40236480325460444
suitcase,494,0.11040309761549051,0.06809586070175379,0.0500078164041042,0.4121009707450866,0.08357680588960639,0.19469794929027553,0.35493218451738356
carrot,314,0.10999111974742377,0.0674661223735633,0.0501775778830051,0.4630768895149231,0.0863161422312259,0.19243197888135907,0.3873878484964372
snowboard,103,0.10928481144523154,0.06374008731348244,0.0506604090332984,0.4103089869022369,0.0866308957338333,0.2072175949811934,0.2689995616674424
potted plant,134,0.1090183459333519,0.0980473247767247,0.0505184344947338,0.7311239242553711,0.07435676082968709,0.20223019272089005,0.5816020560264558
fire hydrant,78,0.10866855333248769,0.06459667823770819,0.050143115222454,0.3651716709136963,0.08674566820263854,0.19007907658815373,0.3294359064102174
zebra,239,0.10811265818307086,0.07650333245168821,0.0500347577035427,0.4903368949890136,0.078928604722023,0.20429760515689852,0.4376019543409353
laptop,99,0.10762535987628827,0.08605032287405845,0.0500567704439163,0.5719047784805298,0.0719111859798431,0.19795187711715692,0.41929109275340964
banana,378,0.10741964965152043,0.07315333062500975,0.0500349402427673,0.6177757382392883,0.0839710384607315,0.1834203034639358,0.3986263629794132
toilet,183,0.10646941356075913,0.07924572997792009,0.0500450022518634,0.6329302787780762,0.0774756073951721,0.20262518823146816,0.38791129529476204
keyboard,73,0.10605423167756155,0.08068900258846744,0.0500859506428241,0.4817337989807129,0.0779296234250068,0.19431854486465439,0.4287925291061402
microwave,173,0.10562903578312406,0.07824838547033577,0.0500075966119766,0.559819221496582,0.0806709378957748,0.18093419373035427,0.43959407329559325
bowl,187,0.10549790936118775,0.11268258749070287,0.0501164607703685,0.9124723076820374,0.0687857270240783,0.17262988090515136,0.6415376925468408
clock,244,0.10512776265195643,0.07987307982837613,0.0502137839794158,0.8621754050254822,0.07899204641580576,0.1727074772119522,0.37572957932949064
