bin,left,right,null_count,tp_count,p0,p1,raw_evalue,evalue
0,0.0500003844499588,0.05048448666930195,182,7,0.013542514615555392,0.0045871559633027525,0.33872261492956335,0.33872261492956335
1,0.05048448666930195,0.051001757383346516,183,6,0.013616517427662251,0.0040137614678899085,0.29477151475867575,0.29477151475867575
2,0.051001757383346516,0.05153038017451761,185,4,0.013764523051875971,0.0028669724770642203,0.2082870918417678,0.2082870918417678
3,0.05153038017451761,0.05208034887909886,184,4,0.013690520239769112,0.0028669724770642203,0.20941296801388545,0.20941296801388545
4,0.05208034887909886,0.05260128155350685,180,9,0.013394508991341671,0.005733944954128441,0.4280817578184399,0.4280817578184399
5,0.05260128155350685,0.053120376914739545,185,4,0.013764523051875971,0.0028669724770642203,0.2082870918417678,0.2082870918417678
6,0.053120376914739545,0.05365728177130215,185,3,0.013764523051875971,0.0022935779816513763,0.16662967347341423,0.16662967347341423
7,0.05365728177130215,0.05429778844118114,183,6,0.013616517427662251,0.0040137614678899085,0.29477151475867575,0.29477151475867575
8,0.05429778844118114,0.05501234531402584,183,6,0.013616517427662251,0.0040137614678899085,0.29477151475867575,0.29477151475867575
9,0.05501234531402584,0.055688414722681,185,3,0.013764523051875971,0.0022935779816513763,0.16662967347341423,0.16662967347341423
10,0.055688414722681,0.05631127431988713,184,5,0.013690520239769112,0.0034403669724770644,0.25129556161666255,0.25129556161666255
11,0.05631127431988713,0.0569258533418178,182,7,0.013542514615555392,0.0045871559633027525,0.33872261492956335,0.33872261492956335
12,0.0569258533418178,0.05754035227000709,183,6,0.013616517427662251,0.0040137614678899085,0.29477151475867575,0.29477151475867575
13,0.05754035227000709,0.05824911519885058,182,6,0.013542514615555392,0.0040137614678899085,0.2963822880633679,0.2963822880633679
14,0.05824911519885058,0.0588855762034654,184,5,0.013690520239769112,0.0034403669724770644,0.25129556161666255,0.25129556161666255
15,0.0588855762034654,0.05957356765866272,182,7,0.013542514615555392,0.0045871559633027525,0.33872261492956335,0.33872261492956335
16,0.05957356765866272,0.06030400209128855,183,5,0.013616517427662251,0.0034403669724770644,0.2526612983645792,0.2526612983645792
17,0.06030400209128855,0.06096739768981926,184,5,0.013690520239769112,0.0034403669724770644,0.25129556161666255,0.25129556161666255
18,0.06096739768981926,0.061794390529394116,181,8,0.01346851180344853,0.005160550458715597,0.383156694223208,0.383156694223208
19,0.061794390529394116,0.0625606924295425,183,5,0.013616517427662251,0.0034403669724770644,0.2526612983645792,0.2526612983645792
20,0.0625606924295425,0.06335344091057776,187,2,0.013912528676089692,0.0017201834862385322,0.12364276302947493,0.12364276302947493
21,0.06335344091057776,0.0641592279076576,178,11,0.013246503367127951,0.006880733944954129,0.519437753062375,0.519437753062375
22,0.0641592279076576,0.06498943790793418,182,7,0.013542514615555392,0.0045871559633027525,0.33872261492956335,0.33872261492956335
23,0.06498943790793418,0.06585170775651931,185,3,0.013764523051875971,0.0022935779816513763,0.16662967347341423,0.16662967347341423
24,0.06585170775651931,0.06667694076895711,187,2,0.013912528676089692,0.0017201834862385322,0.12364276302947493,0.12364276302947493
25,0.06667694076895711,0.06758536398410792,185,4,0.013764523051875971,0.0028669724770642203,0.2082870918417678,0.2082870918417678
26,0.06758536398410792,0.06857841312885284,183,5,0.013616517427662251,0.0034403669724770644,0.2526612983645792,0.2526612983645792
27,0.06857841312885284,0.0694551452994346,182,7,0.013542514615555392,0.0045871559633027525,0.33872261492956335,0.33872261492956335
28,0.0694551452994346,0.07042337730526918,183,6,0.013616517427662251,0.0040137614678899085,0.29477151475867575,0.29477151475867575
29,0.07042337730526918,0.0713829472661018,183,5,0.013616517427662251,0.0034403669724770644,0.2526612983645792,0.2526612983645792
30,0.0713829472661018,0.07241746485233305,186,3,0.01383852586398283,0.0022935779816513763,0.16573860570082913,0.16573860570082913
31,0.07241746485233305,0.07358334660530087,186,3,0.01383852586398283,0.0022935779816513763,0.16573860570082913,0.16573860570082913
32,0.07358334660530087,0.07461552396416662,182,7,0.013542514615555392,0.0045871559633027525,0.33872261492956335,0.33872261492956335
33,0.07461552396416662,0.0758377686142921,177,11,0.01317250055502109,0.006880733944954129,0.522355942686321,0.522355942686321
34,0.0758377686142921,0.07710219547152515,180,9,0.013394508991341671,0.005733944954128441,0.4280817578184399,0.4280817578184399
35,0.07710219547152515,0.07832265496253964,182,7,0.013542514615555392,0.0045871559633027525,0.33872261492956335,0.33872261492956335
36,0.07832265496253964,0.0796603456139564,181,7,0.01346851180344853,0.0045871559633027525,0.34058372819840715,0.34058372819840715
37,0.0796603456139564,0.08104219138622276,177,12,0.01317250055502109,0.007454128440366973,0.5658856045768478,0.5658856045768478
38,0.08104219138622276,0.08248630017042158,176,13,0.01309849774291423,0.008027522935779817,0.6128582905717099,0.6128582905717099
39,0.08248630017042158,0.0841435194015502,182,6,0.013542514615555392,0.0040137614678899085,0.2963822880633679,0.2963822880633679
40,0.0841435194015502,0.08590985834598537,178,11,0.013246503367127951,0.006880733944954129,0.519437753062375,0.519437753062375
41,0.08590985834598537,0.08767321258783335,174,15,0.01295049211870051,0.009174311926605505,0.7084141546526869,0.7084141546526869
42,0.08767321258783335,0.08939975500106803,179,10,0.01332050617923481,0.006307339449541285,0.47350598878695216,0.47350598878695216
43,0.08939975500106803,0.09113679677247999,176,12,0.01309849774291423,0.007454128440366973,0.5690826983880164,0.5690826983880164
44,0.09113679677247999,0.09303281828761095,182,7,0.013542514615555392,0.0045871559633027525,0.33872261492956335,0.33872261492956335
45,0.09303281828761095,0.09509889036417007,179,10,0.01332050617923481,0.006307339449541285,0.47350598878695216,0.47350598878695216
46,0.09509889036417007,0.09730806574225423,176,12,0.01309849774291423,0.007454128440366973,0.5690826983880164,0.5690826983880164
47,0.09730806574225423,0.0997293204069137,185,4,0.013764523051875971,0.0028669724770642203,0.2082870918417678,0.2082870918417678
48,0.0997293204069137,0.10255794823169706,182,7,0.013542514615555392,0.0045871559633027525,0.33872261492956335,0.33872261492956335
49,0.10255794823169706,0.1047954857349395,172,16,0.01280248649448679,0.00974770642201835,0.7613916582701384,0.7613916582701384
50,0.1047954857349395,0.10775332972407338,180,9,0.013394508991341671,0.005733944954128441,0.4280817578184399,0.4280817578184399
51,0.10775332972407338,0.11094581335782998,174,15,0.01295049211870051,0.009174311926605505,0.7084141546526869,0.7084141546526869
52,0.11094581335782998,0.11432494372129436,181,8,0.01346851180344853,0.005160550458715597,0.383156694223208,0.383156694223208
53,0.11432494372129436,0.11798216998577114,169,19,0.01258047805816621,0.011467889908256881,0.9115623313545602,0.9115623313545602
54,0.11798216998577114,0.12135153263807295,173,16,0.012876489306593651,0.00974770642201835,0.7570158441421491,0.7570158441421491
55,0.12135153263807295,0.12529922127723697,172,17,0.01280248649448679,0.010321100917431193,0.8061794028742643,0.8061794028742643
56,0.12529922127723697,0.12956529408693307,172,16,0.01280248649448679,0.00974770642201835,0.7613916582701384,0.7613916582701384
57,0.12956529408693307,0.1341819912195206,167,22,0.01243247243395249,0.013188073394495414,1.0607764034512888,1.0607764034512888
