alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp
0.01,1361,79,91,2,89,0.02197802197802198,0.05085714285714286,0.0014695077149155032
0.02,1361,135,163,3,160,0.018404907975460124,0.09142857142857143,0.002204261572373255
0.05,1361,189,252,6,246,0.023809523809523808,0.14057142857142857,0.0032329169728141077
0.1,1361,227,328,13,315,0.039634146341463415,0.18,0.006314801208261899
0.15,1361,256,379,19,360,0.05013192612137203,0.2057142857142857,0.008653767654502409
0.2,1361,277,420,23,397,0.05476190476190476,0.22685714285714287,0.011210562643332663
