method,alpha,total_rejections,fdp,recall
betting,0.05,40.5,0.013450384359956487,0.10323530440984789
betting,0.1,90.95,0.0303497205659763,0.22529085759276862
betting,0.15,120.45,0.0402071741187766,0.29383339168749034
betting,0.2,141.95,0.04901189955390172,0.34305582826441183
binary,0.05,21.85,0.010773217098083295,0.04950550456938259
binary,0.1,49.5,0.030219347311187618,0.10716483456277617
binary,0.15,35.9,0.01963250876743196,0.07549490050211254
binary,0.2,82.7,0.0562845017002904,0.15483971121273157
pvalue_bh,0.05,192.4,0.07564882655263648,0.4526373082098667
pvalue_bh,0.1,244.1,0.11187220322265212,0.549096030434682
pvalue_bh,0.15,294.95,0.15471812008090433,0.6262557436673727
pvalue_bh,0.2,341.15,0.20088128804554573,0.6827320479089842
