alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,score_floor,total_pruned,seed,method
0.2,210,0,0,0,0,0.0,0.0,0.0,0.3,493.0,4,binary
0.05,210,133,238,24,214,0.10084033613445378,0.4662309368191721,0.057114512471655325,0.3,,4,pvalue_bh
0.1,210,150,320,51,269,0.159375,0.5860566448801743,0.08672541743970315,0.3,,4,pvalue_bh
0.15,210,166,377,79,298,0.20954907161803712,0.6492374727668845,0.10709298382109443,0.3,,4,pvalue_bh
0.2,210,173,415,98,317,0.236144578313253,0.690631808278867,0.12559590257069247,0.3,,4,pvalue_bh
0.05,210,32,37,1,36,0.02702702702702703,0.10027855153203342,0.002380952380952381,0.3,398.0,5,betting
0.1,210,72,87,1,86,0.011494252873563218,0.2395543175487465,0.0015873015873015873,0.3,398.0,5,betting
0.15,210,86,109,1,108,0.009174311926605505,0.3008356545961003,0.0015873015873015873,0.3,398.0,5,betting
0.2,210,93,124,1,123,0.008064516129032258,0.3426183844011142,0.0015873015873015873,0.3,398.0,5,betting
0.05,210,0,0,0,0,0.0,0.0,0.0,0.3,398.0,5,binary
0.1,210,0,0,0,0,0.0,0.0,0.0,0.3,398.0,5,binary
0.15,210,0,0,0,0,0.0,0.0,0.0,0.3,398.0,5,binary
0.2,210,0,0,0,0,0.0,0.0,0.0,0.3,398.0,5,binary
0.05,210,121,179,2,177,0.0111731843575419,0.49303621169916434,0.006349206349206349,0.3,,5,pvalue_bh
0.1,210,144,224,11,213,0.049107142857142856,0.5933147632311978,0.03234126984126984,0.3,,5,pvalue_bh
0.15,210,153,246,15,231,0.06097560975609756,0.6434540389972145,0.045436507936507935,0.3,,5,pvalue_bh
0.2,210,166,280,27,253,0.09642857142857143,0.7047353760445683,0.07087301587301587,0.3,,5,pvalue_bh
0.05,210,22,27,1,26,0.037037037037037035,0.06914893617021277,0.004761904761904762,0.3,335.0,6,betting
0.1,210,74,96,5,91,0.052083333333333336,0.24202127659574468,0.016666666666666666,0.3,335.0,6,betting
0.15,210,94,127,6,121,0.047244094488188976,0.32180851063829785,0.017261904761904763,0.3,335.0,6,betting
0.2,210,103,149,8,141,0.053691275167785234,0.375,0.022023809523809525,0.3,335.0,6,betting
0.05,210,0,0,0,0,0.0,0.0,0.0,0.3,335.0,6,binary
0.1,210,0,0,0,0,0.0,0.0,0.0,0.3,335.0,6,binary
0.15,210,0,0,0,0,0.0,0.0,0.0,0.3,335.0,6,binary
0.2,210,0,0,0,0,0.0,0.0,0.0,0.3,335.0,6,binary
0.05,210,136,227,24,203,0.10572687224669604,0.5398936170212766,0.06334089191232048,0.3,,6,pvalue_bh
0.1,210,144,253,28,225,0.11067193675889328,0.598404255319149,0.06929327286470142,0.3,,6,pvalue_bh
0.15,210,151,280,35,245,0.125,0.651595744680851,0.07713358070500928,0.3,,6,pvalue_bh
0.2,210,160,297,43,254,0.1447811447811448,0.675531914893617,0.10190682333539476,0.3,,6,pvalue_bh
0.05,210,25,27,0,27,0.0,0.06601466992665037,0.0,0.3,407.0,7,betting
0.1,210,41,46,2,44,0.043478260869565216,0.10757946210268948,0.004761904761904762,0.3,407.0,7,betting
0.15,210,68,81,2,79,0.024691358024691357,0.19315403422982885,0.004761904761904762,0.3,407.0,7,betting
0.2,210,93,121,6,115,0.049586776859504134,0.28117359413202936,0.01904761904761905,0.3,407.0,7,betting
0.05,210,0,0,0,0,0.0,0.0,0.0,0.3,407.0,7,binary
0.1,210,0,0,0,0,0.0,0.0,0.0,0.3,407.0,7,binary
0.15,210,0,0,0,0,0.0,0.0,0.0,0.3,407.0,7,binary
0.2,210,0,0,0,0,0.0,0.0,0.0,0.3,407.0,7,binary
0.05,210,103,138,5,133,0.036231884057971016,0.3251833740831296,0.016666666666666666,0.3,,7,pvalue_bh
0.1,210,133,193,15,178,0.07772020725388601,0.4352078239608802,0.04920634920634921,0.3,,7,pvalue_bh
0.15,210,152,278,41,237,0.1474820143884892,0.5794621026894865,0.07141577060931899,0.3,,7,pvalue_bh
0.2,210,165,316,57,259,0.18037974683544303,0.6332518337408313,0.09188675470188076,0.3,,7,pvalue_bh
0.05,210,24,24,0,24,0.0,0.05741626794258373,0.0,0.3,403.0,8,betting
0.1,210,46,51,1,50,0.0196078431372549,0.11961722488038277,0.002380952380952381,0.3,403.0,8,betting
0.15,210,80,100,2,98,0.02,0.23444976076555024,0.007142857142857143,0.3,403.0,8,betting
0.2,210,98,140,7,133,0.05,0.3181818181818182,0.016666666666666666,0.3,403.0,8,betting
0.05,210,0,0,0,0,0.0,0.0,0.0,0.3,403.0,8,binary
0.1,210,0,0,0,0,0.0,0.0,0.0,0.3,403.0,8,binary
0.15,210,0,0,0,0,0.0,0.0,0.0,0.3,403.0,8,binary
0.2,210,0,0,0,0,0.0,0.0,0.0,0.3,403.0,8,binary
0.05,210,107,155,8,147,0.05161290322580645,0.35167464114832536,0.02142857142857143,0.3,,8,pvalue_bh
0.1,210,125,192,14,178,0.07291666666666667,0.4258373205741627,0.039047619047619046,0.3,,8,pvalue_bh
0.15,210,141,232,17,215,0.07327586206896551,0.5143540669856459,0.04179487179487179,0.3,,8,pvalue_bh
0.2,210,155,274,30,244,0.10948905109489052,0.583732057416268,0.06616256759113902,0.3,,8,pvalue_bh
0.05,210,36,39,0,39,0.0,0.09397590361445783,0.0,0.3,462.0,9,betting
0.1,210,63,78,2,76,0.02564102564102564,0.18313253012048192,0.004761904761904762,0.3,462.0,9,betting
0.15,210,73,95,3,92,0.031578947368421054,0.2216867469879518,0.009523809523809525,0.3,462.0,9,betting
0.2,210,84,109,4,105,0.03669724770642202,0.25301204819277107,0.011904761904761904,0.3,462.0,9,betting
0.05,210,0,0,0,0,0.0,0.0,0.0,0.3,462.0,9,binary
