alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,threshold,cal_loss,cal_bound,cal_rejections,cal_fp,cal_tp,seed,method
0.05,537,129,200,15,185,0.075,0.25874125874125875,0.011782832313558571,0.5944916009902954,0.04046242774566474,0.04597701149425287,173,7,166,0,scoregate_pooled_plus1
0.1,537,139,237,24,213,0.10126582278481013,0.29790209790209793,0.019109692294049834,0.5176459550857544,0.0958904109589041,0.1,219,21,198,0,scoregate_pooled_plus1
0.15,537,150,262,31,231,0.1183206106870229,0.3230769230769231,0.02185159657226696,0.4874049723148346,0.145748987854251,0.14919354838709678,247,36,211,0,scoregate_pooled_plus1
0.2,537,154,275,35,240,0.12727272727272726,0.3356643356643357,0.022723241996985014,0.4758269786834717,0.19101123595505617,0.19402985074626866,267,51,216,0,scoregate_pooled_plus1
0.25,537,164,310,52,258,0.16774193548387098,0.36083916083916084,0.03246703039411066,0.4381782114505768,0.2468354430379747,0.24921135646687698,316,78,238,0,scoregate_pooled_plus1
0.3,537,176,341,62,279,0.18181818181818182,0.3902097902097902,0.03633466252592116,0.4168929755687713,0.2970027247956403,0.29891304347826086,367,109,258,0,scoregate_pooled_plus1
0.05,537,116,218,11,207,0.05045871559633028,0.31363636363636366,0.008025184002837634,0.5868828892707825,0.04424778761061947,0.048458149779735685,226,10,216,1,scoregate_pooled_plus1
0.1,537,130,260,17,243,0.06538461538461539,0.36818181818181817,0.012742750731577547,0.5103765726089478,0.0967741935483871,0.1,279,27,252,1,scoregate_pooled_plus1
0.15,537,149,298,30,268,0.10067114093959731,0.40606060606060607,0.027084011581218283,0.4685022532939911,0.14603174603174604,0.14873417721518986,315,46,269,1,scoregate_pooled_plus1
0.2,537,156,320,35,285,0.109375,0.4318181818181818,0.030445516618700975,0.4356237649917602,0.19452054794520549,0.19672131147540983,365,71,294,1,scoregate_pooled_plus1
0.25,537,167,369,60,309,0.16260162601626016,0.4681818181818182,0.048401019902049015,0.3965928256511688,0.24644549763033174,0.24822695035460993,422,104,318,1,scoregate_pooled_plus1
0.3,537,181,396,73,323,0.18434343434343434,0.4893939393939394,0.06548026363521806,0.3724149763584137,0.2968421052631579,0.29831932773109243,475,141,334,1,scoregate_pooled_plus1
0.05,537,116,198,19,179,0.09595959595959595,0.2663690476190476,0.016560255387071027,0.5749345421791077,0.04017857142857143,0.044444444444444446,224,9,215,2,scoregate_pooled_plus1
0.1,537,136,247,33,214,0.13360323886639677,0.31845238095238093,0.02295397030033901,0.4996835887432098,0.09328358208955224,0.09665427509293681,268,25,243,2,scoregate_pooled_plus1
0.15,537,141,260,40,220,0.15384615384615385,0.3273809523809524,0.027092385681771157,0.4775794148445129,0.14381270903010032,0.14666666666666667,299,43,256,2,scoregate_pooled_plus1
0.2,537,160,301,58,243,0.19269102990033224,0.36160714285714285,0.03957015240716965,0.4382005035877228,0.19533527696793002,0.19767441860465115,343,67,276,2,scoregate_pooled_plus1
0.25,537,176,348,81,267,0.23275862068965517,0.39732142857142855,0.06001169841951964,0.4028013944625854,0.24623115577889448,0.24812030075187969,398,98,300,2,scoregate_pooled_plus1
0.3,537,199,445,137,308,0.30786516853932583,0.4583333333333333,0.09068018432176032,0.3548742234706878,0.29782608695652174,0.2993492407809111,460,137,323,2,scoregate_pooled_plus1
