method,alpha,total_rejections,fdp,recall
betting,0.05,0.0,0.0,0.0
betting,0.1,0.0,0.0,0.0
betting,0.15,0.0,0.0,0.0
betting,0.2,0.5,0.0,0.03333333333333333
binary,0.05,0.0,0.0,0.0
binary,0.1,0.0,0.0,0.0
binary,0.15,0.0,0.0,0.0
binary,0.2,0.0,0.0,0.0
pvalue_bh,0.05,3.5,0.5833333333333333,0.13333333333333333
pvalue_bh,0.1,7.0,0.5833333333333333,0.26666666666666666
pvalue_bh,0.15,8.0,0.6349206349206349,0.26666666666666666
pvalue_bh,0.2,10.5,0.6826923076923077,0.31666666666666665
