method,alpha,total_rejections,fdp,recall
betting,0.05,0.0,0.0,0.0
betting,0.1,0.0,0.0,0.0
betting,0.15,0.0,0.0,0.0
betting,0.2,0.7071067811865476,0.0,0.04714045207910317
binary,0.05,0.0,0.0,0.0
binary,0.1,0.0,0.0,0.0
binary,0.15,0.0,0.0,0.0
binary,0.2,0.0,0.0,0.0
pvalue_bh,0.05,0.7071067811865476,0.11785113019775786,0.09428090415820634
pvalue_bh,0.1,1.4142135623730951,0.11785113019775786,0.18856180831641267
pvalue_bh,0.15,1.4142135623730951,0.11223917161691226,0.18856180831641267
pvalue_bh,0.2,3.5355339059327378,0.09518745131357369,0.25927248643506745
