method,alpha,total_rejections,fdp,recall,threshold
score_oracle,0.05,1.5,0.0,0.13333333333333333,0.9079227149486542
score_oracle,0.1,1.5,0.0,0.13333333333333333,0.9079227149486542
score_oracle,0.15,1.5,0.0,0.13333333333333333,0.9079227149486542
score_oracle,0.2,1.5,0.0,0.13333333333333333,0.9079227149486542
