alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,score_floor,total_pruned,seed,method
0.05,238,170,238,10,228,0.04201680672268908,0.6514285714285715,0.031162464985994395,0.4,,4,pvalue_bh
0.1,238,184,290,25,265,0.08620689655172414,0.7571428571428571,0.05161064425770307,0.4,,4,pvalue_bh
0.15,238,194,319,33,286,0.10344827586206896,0.8171428571428572,0.06939775910364145,0.4,,4,pvalue_bh
0.2,238,200,334,38,296,0.11377245508982035,0.8457142857142858,0.082703081232493,0.4,,4,pvalue_bh
0.05,238,93,123,2,121,0.016260162601626018,0.28672985781990523,0.008403361344537815,0.4,299.0,5,betting
0.1,238,119,163,3,160,0.018404907975460124,0.3791469194312796,0.012605042016806723,0.4,299.0,5,betting
0.15,238,152,217,6,211,0.027649769585253458,0.5,0.02100840336134454,0.4,299.0,5,betting
0.2,238,154,236,9,227,0.038135593220338986,0.5379146919431279,0.025910364145658265,0.4,299.0,5,betting
0.05,238,0,0,0,0,0.0,0.0,0.0,0.4,299.0,5,binary
0.1,238,166,279,21,258,0.07526881720430108,0.6113744075829384,0.04094637855142056,0.4,299.0,5,binary
0.15,238,0,0,0,0,0.0,0.0,0.0,0.4,299.0,5,binary
0.2,238,198,394,47,347,0.11928934010152284,0.8222748815165877,0.06862745098039216,0.4,299.0,5,binary
0.05,238,170,287,17,270,0.059233449477351915,0.6398104265402843,0.03746498599439776,0.4,,5,pvalue_bh
0.1,238,185,346,29,317,0.0838150289017341,0.7511848341232228,0.04871948779511805,0.4,,5,pvalue_bh
0.15,238,198,386,43,343,0.11139896373056994,0.8127962085308057,0.06716868565608061,0.4,,5,pvalue_bh
0.2,238,198,394,47,347,0.11928934010152284,0.8222748815165877,0.06862745098039216,0.4,,5,pvalue_bh
0.05,238,93,123,1,122,0.008130081300813009,0.32620320855614976,0.004201680672268907,0.4,223.0,6,betting
0.1,238,132,177,2,175,0.011299435028248588,0.4679144385026738,0.008403361344537815,0.4,223.0,6,betting
0.15,238,149,204,4,200,0.0196078431372549,0.5347593582887701,0.01680672268907563,0.4,223.0,6,betting
0.2,238,159,229,5,224,0.021834061135371178,0.5989304812834224,0.018907563025210083,0.4,223.0,6,betting
0.05,238,0,0,0,0,0.0,0.0,0.0,0.4,223.0,6,binary
0.1,238,0,0,0,0,0.0,0.0,0.0,0.4,223.0,6,binary
0.15,238,0,0,0,0,0.0,0.0,0.0,0.4,223.0,6,binary
0.2,238,0,0,0,0,0.0,0.0,0.0,0.4,223.0,6,binary
0.05,238,177,257,6,251,0.023346303501945526,0.6711229946524064,0.022058823529411766,0.4,,6,pvalue_bh
0.1,238,188,295,16,279,0.05423728813559322,0.7459893048128342,0.042296918767507005,0.4,,6,pvalue_bh
0.15,238,198,327,22,305,0.0672782874617737,0.8155080213903744,0.055427170868347336,0.4,,6,pvalue_bh
0.2,238,205,345,33,312,0.09565217391304348,0.8342245989304813,0.07976190476190477,0.4,,6,pvalue_bh
0.05,238,71,82,0,82,0.0,0.22527472527472528,0.0,0.4,303.0,7,betting
0.1,238,127,164,8,156,0.04878048780487805,0.42857142857142855,0.025560224089635854,0.4,303.0,7,betting
0.15,238,148,203,10,193,0.04926108374384237,0.5302197802197802,0.031162464985994395,0.4,303.0,7,betting
0.2,238,161,239,18,221,0.07531380753138076,0.6071428571428571,0.043627450980392155,0.4,303.0,7,betting
0.05,238,0,0,0,0,0.0,0.0,0.0,0.4,303.0,7,binary
0.1,238,0,0,0,0,0.0,0.0,0.0,0.4,303.0,7,binary
0.15,238,0,0,0,0,0.0,0.0,0.0,0.4,303.0,7,binary
0.2,238,0,0,0,0,0.0,0.0,0.0,0.4,303.0,7,binary
0.05,238,169,253,19,234,0.07509881422924901,0.6428571428571429,0.04887955182072829,0.4,,7,pvalue_bh
0.1,238,180,307,34,273,0.11074918566775244,0.75,0.06890756302521008,0.4,,7,pvalue_bh
0.15,238,191,347,52,295,0.14985590778097982,0.8104395604395604,0.10381858625803263,0.4,,7,pvalue_bh
0.2,238,195,362,58,304,0.16022099447513813,0.8351648351648352,0.11271214368100183,0.4,,7,pvalue_bh
0.05,238,0,0,0,0,0.0,0.0,0.0,0.4,294.0,8,betting
0.1,238,92,129,1,128,0.007751937984496124,0.3208020050125313,0.004201680672268907,0.4,294.0,8,betting
0.15,238,119,161,2,159,0.012422360248447204,0.39849624060150374,0.008403361344537815,0.4,294.0,8,betting
0.2,238,140,203,5,198,0.024630541871921183,0.49624060150375937,0.017857142857142856,0.4,294.0,8,betting
0.05,238,0,0,0,0,0.0,0.0,0.0,0.4,294.0,8,binary
0.1,238,0,0,0,0,0.0,0.0,0.0,0.4,294.0,8,binary
0.15,238,0,0,0,0,0.0,0.0,0.0,0.4,294.0,8,binary
0.2,238,0,0,0,0,0.0,0.0,0.0,0.4,294.0,8,binary
0.05,238,158,236,5,231,0.0211864406779661,0.5789473684210527,0.017857142857142856,0.4,,8,pvalue_bh
0.1,238,171,285,9,276,0.031578947368421054,0.6917293233082706,0.026400560224089636,0.4,,8,pvalue_bh
0.15,238,183,325,18,307,0.055384615384615386,0.7694235588972431,0.03564425770308124,0.4,,8,pvalue_bh
0.2,238,190,357,34,323,0.09523809523809523,0.8095238095238095,0.05770308123249299,0.4,,8,pvalue_bh
0.05,238,82,95,1,94,0.010526315789473684,0.23209876543209876,0.004201680672268907,0.4,247.0,9,betting
0.1,238,121,161,2,159,0.012422360248447204,0.3925925925925926,0.004726890756302521,0.4,247.0,9,betting
0.15,238,141,194,2,192,0.010309278350515464,0.4740740740740741,0.004668534080298786,0.4,247.0,9,betting
0.2,238,167,255,12,243,0.047058823529411764,0.6,0.024416433239962655,0.4,247.0,9,betting
0.05,238,0,0,0,0,0.0,0.0,0.0,0.4,247.0,9,binary
0.1,238,0,0,0,0,0.0,0.0,0.0,0.4,247.0,9,binary
0.15,238,0,0,0,0,0.0,0.0,0.0,0.4,247.0,9,binary
0.2,238,0,0,0,0,0.0,0.0,0.0,0.4,247.0,9,binary
0.05,238,175,274,12,262,0.043795620437956206,0.6469135802469136,0.024416433239962655,0.4,,9,pvalue_bh
0.1,238,185,312,22,290,0.07051282051282051,0.7160493827160493,0.039872615712951844,0.4,,9,pvalue_bh
0.15,238,201,364,37,327,0.10164835164835165,0.8074074074074075,0.07233059890622917,0.4,,9,pvalue_bh
0.2,238,203,369,38,331,0.10298102981029811,0.817283950617284,0.07443143924236362,0.4,,9,pvalue_bh
0.05,238,93,118,3,115,0.025423728813559324,0.2875,0.012605042016806723,0.4,258.0,10,betting
0.1,238,135,189,6,183,0.031746031746031744,0.4575,0.025210084033613446,0.4,258.0,10,betting
0.15,238,153,228,9,219,0.039473684210526314,0.5475,0.027210884353741496,0.4,258.0,10,betting
0.2,238,164,256,10,246,0.0390625,0.615,0.02923669467787115,0.4,258.0,10,betting
0.05,238,0,0,0,0,0.0,0.0,0.0,0.4,258.0,10,binary
0.1,238,0,0,0,0,0.0,0.0,0.0,0.4,258.0,10,binary
0.15,238,0,0,0,0,0.0,0.0,0.0,0.4,258.0,10,binary
0.2,238,199,390,54,336,0.13846153846153847,0.84,0.09728057889822596,0.4,258.0,10,binary
0.05,238,161,255,11,244,0.043137254901960784,0.61,0.029586834733893556,0.4,,10,pvalue_bh
0.1,238,181,325,25,300,0.07692307692307693,0.75,0.050536881419234354,0.4,,10,pvalue_bh
0.15,238,189,355,40,315,0.11267605633802817,0.7875,0.07049486461251167,0.4,,10,pvalue_bh
0.2,238,199,390,54,336,0.13846153846153847,0.84,0.09728057889822596,0.4,,10,pvalue_bh
0.05,238,83,101,1,100,0.009900990099009901,0.23980815347721823,0.004201680672268907,0.4,290.0,11,betting
0.1,238,121,159,1,158,0.006289308176100629,0.37889688249400477,0.004201680672268907,0.4,290.0,11,betting
0.15,238,136,183,2,181,0.01092896174863388,0.434052757793765,0.008403361344537815,0.4,290.0,11,betting
0.2,238,146,202,2,200,0.009900990099009901,0.47961630695443647,0.008403361344537815,0.4,290.0,11,betting
0.05,238,0,0,0,0,0.0,0.0,0.0,0.4,290.0,11,binary
0.1,238,0,0,0,0,0.0,0.0,0.0,0.4,290.0,11,binary
0.15,238,0,0,0,0,0.0,0.0,0.0,0.4,290.0,11,binary
0.2,238,0,0,0,0,0.0,0.0,0.0,0.4,290.0,11,binary
0.05,238,163,236,4,232,0.01694915254237288,0.5563549160671463,0.010644257703081233,0.4,,11,pvalue_bh
0.1,238,185,313,13,300,0.04153354632587859,0.7194244604316546,0.026190476190476188,0.4,,11,pvalue_bh
0.15,238,197,348,22,326,0.06321839080459771,0.7817745803357314,0.04457783113245297,0.4,,11,pvalue_bh
0.2,238,203,369,30,339,0.08130081300813008,0.8129496402877698,0.060329131652661065,0.4,,11,pvalue_bh
0.05,238,34,35,1,34,0.02857142857142857,0.08877284595300261,0.004201680672268907,0.4,253.0,12,betting
0.1,238,108,146,1,145,0.00684931506849315,0.3785900783289817,0.004201680672268907,0.4,253.0,12,betting
0.15,238,124,167,1,166,0.005988023952095809,0.43342036553524804,0.004201680672268907,0.4,253.0,12,betting
0.2,238,145,211,3,208,0.014218009478672985,0.5430809399477807,0.009453781512605041,0.4,253.0,12,betting
0.05,238,0,0,0,0,0.0,0.0,0.0,0.4,253.0,12,binary
0.1,238,0,0,0,0,0.0,0.0,0.0,0.4,253.0,12,binary
0.15,238,0,0,0,0,0.0,0.0,0.0,0.4,253.0,12,binary
0.2,238,0,0,0,0,0.0,0.0,0.0,0.4,253.0,12,binary
0.05,238,166,251,6,245,0.02390438247011952,0.639686684073107,0.017156862745098037,0.4,,12,pvalue_bh
0.1,238,178,294,15,279,0.05102040816326531,0.7284595300261096,0.03326330532212885,0.4,,12,pvalue_bh
0.15,238,192,334,26,308,0.07784431137724551,0.804177545691906,0.057072829131652666,0.4,,12,pvalue_bh
0.2,238,197,352,33,319,0.09375,0.8328981723237598,0.07436974789915966,0.4,,12,pvalue_bh
0.05,238,87,111,3,108,0.02702702702702703,0.2559241706161137,0.012605042016806723,0.4,290.0,13,betting
0.1,238,124,173,4,169,0.023121387283236993,0.4004739336492891,0.01680672268907563,0.4,290.0,13,betting
0.15,238,144,205,6,199,0.02926829268292683,0.471563981042654,0.02184873949579832,0.4,290.0,13,betting
0.2,238,155,233,11,222,0.04721030042918455,0.5260663507109005,0.02965686274509804,0.4,290.0,13,betting
0.05,238,0,0,0,0,0.0,0.0,0.0,0.4,290.0,13,binary
0.1,238,0,0,0,0,0.0,0.0,0.0,0.4,290.0,13,binary
0.15,238,0,0,0,0,0.0,0.0,0.0,0.4,290.0,13,binary
0.2,238,0,0,0,0,0.0,0.0,0.0,0.4,290.0,13,binary
0.05,238,163,256,11,245,0.04296875,0.580568720379147,0.034278711484593834,0.4,,13,pvalue_bh
0.1,238,188,341,27,314,0.07917888563049853,0.7440758293838863,0.06109360410830999,0.4,,13,pvalue_bh
0.15,238,197,399,48,351,0.12030075187969924,0.8317535545023697,0.09798973956784139,0.4,,13,pvalue_bh
0.2,238,198,404,53,351,0.1311881188118812,0.8317535545023697,0.10476062974209292,0.4,,13,pvalue_bh
0.05,238,83,94,2,92,0.02127659574468085,0.2169811320754717,0.008403361344537815,0.4,275.0,14,betting
0.1,238,120,143,4,139,0.027972027972027972,0.3278301886792453,0.01680672268907563,0.4,275.0,14,betting
0.15,238,140,183,4,179,0.02185792349726776,0.4221698113207547,0.01680672268907563,0.4,275.0,14,betting
0.2,238,149,206,4,202,0.019417475728155338,0.47641509433962265,0.01680672268907563,0.4,275.0,14,betting
0.05,238,0,0,0,0,0.0,0.0,0.0,0.4,275.0,14,binary
0.1,238,159,261,12,249,0.04597701149425287,0.5872641509433962,0.032703081232493,0.4,275.0,14,binary
0.15,238,0,0,0,0,0.0,0.0,0.0,0.4,275.0,14,binary
0.2,238,202,395,45,350,0.11392405063291139,0.8254716981132075,0.08825863678804856,0.4,275.0,14,binary
0.05,238,175,276,11,265,0.03985507246376811,0.625,0.03795518207282913,0.4,,14,pvalue_bh
0.1,238,184,326,18,308,0.05521472392638037,0.7264150943396226,0.04572829131652661,0.4,,14,pvalue_bh
0.15,238,193,368,36,332,0.09782608695652174,0.7830188679245284,0.07104341736694678,0.4,,14,pvalue_bh
0.2,238,202,395,45,350,0.11392405063291139,0.8254716981132075,0.08825863678804856,0.4,,14,pvalue_bh
0.05,238,89,105,1,104,0.009523809523809525,0.2826086956521739,0.004201680672268907,0.4,259.0,15,betting
0.1,238,129,173,2,171,0.011560693641618497,0.46467391304347827,0.0063025210084033615,0.4,259.0,15,betting
0.15,238,146,209,6,203,0.028708133971291867,0.5516304347826086,0.016946778711484593,0.4,259.0,15,betting
0.2,238,160,235,8,227,0.03404255319148936,0.6168478260869565,0.021673669467787114,0.4,259.0,15,betting
0.05,238,0,0,0,0,0.0,0.0,0.0,0.4,259.0,15,binary
0.1,238,0,0,0,0,0.0,0.0,0.0,0.4,259.0,15,binary
0.15,238,0,0,0,0,0.0,0.0,0.0,0.4,259.0,15,binary
0.2,238,0,0,0,0,0.0,0.0,0.0,0.4,259.0,15,binary
0.05,238,161,238,9,229,0.037815126050420166,0.6222826086956522,0.02272408963585434,0.4,,15,pvalue_bh
