seed,alpha,R_statistic,iou_thresh,n_cal_all_null_clusters,total_tp_clusters,total_tp_candidates,sa_rej,sa_fp,sa_tp,sa_fdp_pooled,sa_family_fdp_mean,sa_recall_object,base_rej,base_fp,base_tp,base_fdp_pooled,base_family_fdp_mean,base_recall_candidate,base_recall_object
0,0.05,max_phi,0.2,432,226,1597,67,0,67,0.0,0.0,0.29646017699115046,22,0,22,0.0,0.0,0.013775829680651221,0.07964601769911504
0,0.1,max_phi,0.2,432,226,1597,90,1,89,0.011111111111111112,0.0055248618784530384,0.3938053097345133,60,0,60,0.0,0.0,0.03757044458359424,0.20353982300884957
0,0.15,max_phi,0.2,432,226,1597,96,1,95,0.010416666666666666,0.0055248618784530384,0.42035398230088494,72,0,72,0.0,0.0,0.045084533500313086,0.24778761061946902
0,0.2,max_phi,0.2,432,226,1597,121,5,116,0.04132231404958678,0.014662133446663833,0.5132743362831859,78,0,78,0.0,0.0,0.048841577958672514,0.26991150442477874
1,0.05,max_phi,0.2,376,224,1316,60,0,60,0.0,0.0,0.26785714285714285,11,0,11,0.0,0.0,0.008358662613981762,0.044642857142857144
1,0.1,max_phi,0.2,376,224,1316,87,0,87,0.0,0.0,0.38839285714285715,44,0,44,0.0,0.0,0.03343465045592705,0.16964285714285715
1,0.15,max_phi,0.2,376,224,1316,109,3,106,0.027522935779816515,0.0032646911099949777,0.4732142857142857,62,0,62,0.0,0.0,0.04711246200607903,0.23660714285714285
1,0.2,max_phi,0.2,376,224,1316,110,3,107,0.02727272727272727,0.0032646911099949777,0.47767857142857145,68,0,68,0.0,0.0,0.05167173252279635,0.25892857142857145
2,0.05,max_phi,0.2,402,232,1468,63,0,63,0.0,0.0,0.27155172413793105,30,0,30,0.0,0.0,0.020435967302452316,0.11206896551724138
2,0.1,max_phi,0.2,402,232,1468,83,0,83,0.0,0.0,0.3577586206896552,64,0,64,0.0,0.0,0.043596730245231606,0.21551724137931033
2,0.15,max_phi,0.2,402,232,1468,91,1,90,0.01098901098901099,0.0027624309392265192,0.3879310344827586,75,0,75,0.0,0.0,0.05108991825613079,0.25862068965517243
2,0.2,max_phi,0.2,402,232,1468,106,1,105,0.009433962264150943,0.0013812154696132596,0.4525862068965517,78,0,78,0.0,0.0,0.05313351498637602,0.27155172413793105
3,0.05,max_phi,0.2,445,255,1541,64,0,64,0.0,0.0,0.25098039215686274,32,0,32,0.0,0.0,0.020765736534717714,0.11764705882352941
3,0.1,max_phi,0.2,445,255,1541,86,0,86,0.0,0.0,0.33725490196078434,59,0,59,0.0,0.0,0.038286826735885786,0.19607843137254902
3,0.15,max_phi,0.2,445,255,1541,97,0,97,0.0,0.0,0.3803921568627451,70,0,70,0.0,0.0,0.045425048669695,0.23137254901960785
3,0.2,max_phi,0.2,445,255,1541,104,1,103,0.009615384615384616,0.0027624309392265192,0.403921568627451,72,0,72,0.0,0.0,0.04672290720311486,0.23921568627450981
4,0.05,max_phi,0.2,459,213,1323,60,0,60,0.0,0.0,0.28169014084507044,20,0,20,0.0,0.0,0.015117157974300832,0.09389671361502347
4,0.1,max_phi,0.2,459,213,1323,80,0,80,0.0,0.0,0.3755868544600939,40,0,40,0.0,0.0,0.030234315948601664,0.1784037558685446
4,0.15,max_phi,0.2,459,213,1323,89,0,89,0.0,0.0,0.41784037558685444,59,0,59,0.0,0.0,0.044595616024187455,0.2676056338028169
4,0.2,max_phi,0.2,459,213,1323,104,6,98,0.057692307692307696,0.017955801104972375,0.460093896713615,61,0,61,0.0,0.0,0.04610733182161754,0.27699530516431925
5,0.05,max_phi,0.2,410,212,1412,47,0,47,0.0,0.0,0.22169811320754718,13,0,13,0.0,0.0,0.009206798866855524,0.05188679245283019
5,0.1,max_phi,0.2,410,212,1412,63,0,63,0.0,0.0,0.2971698113207547,36,0,36,0.0,0.0,0.025495750708215296,0.13679245283018868
