method,alpha,total_rejections,fdp,recall
betting,0.05,149.95,0.04566038103351215,0.25206743868940373
betting,0.1,196.4,0.0562332973360604,0.3260382606444976
betting,0.15,222.1,0.0711918428981706,0.36262372628281037
betting,0.2,241.95,0.08655029401962669,0.38829221048588525
binary,0.05,2.7,0.015740740740740743,0.002854938271604938
binary,0.1,5.2,0.02747645951035782,0.005927807889190003
binary,0.15,3.9,0.016666666666666666,0.004012345679012345
binary,0.2,7.25,0.03593689508323654,0.0073415386931647095
pvalue_bh,0.05,324.65,0.16285942468438436,0.47947034105947095
pvalue_bh,0.1,404.75,0.23849180476585516,0.5438291577903144
pvalue_bh,0.15,473.35,0.29864713646666735,0.5856751402065166
pvalue_bh,0.2,542.2,0.35422825179292805,0.6176373809661706
