seed,mean_loo_evalue,std_loo_evalue,max_loo_evalue,p95_loo_evalue,p99_loo_evalue,mondrian
0,1.0,8.302338705817812,207.34875437075803,1.1565924519280206,9.262684148655696,none
1,1.0,26.469262731214876,1854.582248167132,1.3466447002801956,3.9153364600671137,none
2,1.0,13.07852627233857,825.4032388127298,1.2060473417795354,8.028784984130313,none
3,1.0,6.412068076722307,214.1061225617331,1.6521493250409496,10.247353052015285,none
4,1.0,19.658171178290697,1369.8482753883475,0.85931563587466,6.085181445034798,none
5,1.0,22.81343410714515,1651.2692988442197,1.025454764913071,6.860564621896298,none
6,1.0,27.23869961233844,1883.9168372528807,1.1788162921936323,6.382185081954587,none
7,0.9999999999999998,6.831597510924119,234.19650275585565,1.352206333423277,9.771231734861722,none
8,1.0,6.009432603144816,243.01046994488394,1.5961278814113884,11.93853089260908,none
9,1.0,8.49143482259821,280.48250998365825,1.3293009951832144,9.610192440586845,none
10,1.0000000000000002,13.465033055468538,846.954333913138,0.8861286025509093,6.56601765485209,none
11,1.0,6.95752307794331,238.65143032216096,1.551363577392162,10.712876165519953,none
12,1.0,40.446655042786595,1639.2974734091351,0.0022260192056704283,0.007673867643523883,none
13,1.0000000000000002,16.570474557708202,1201.529297577933,1.1630891995333554,7.580070392583791,none
14,1.0,7.6978391586421635,231.12789931645102,1.637811077922697,9.793555055781821,none
15,1.0,6.9151732118758105,197.8797947838523,1.4374608424354316,11.613849341708185,none
16,1.0,7.826296765409958,251.58769898888642,1.434889007328138,8.807771407462889,none
17,1.0,8.443689114414033,247.33241820021053,1.3372331689130552,5.376791700004576,none
18,1.0,6.195726132367847,261.71484059073515,1.5890314659634668,10.661817500664094,none
19,1.0,22.69720509152836,1649.5603207484533,1.0877929576296914,6.911201343847276,none
