method,alpha,total_rejections,fdp,recall,threshold
score_oracle,0.05,0.0,0.0,0.0,
score_oracle,0.1,0.0,0.0,0.0,
score_oracle,0.15,0.0,0.0,0.0,
score_oracle,0.2,0.0,0.0,0.0,
