method,alpha,total_rejections,fdp,recall,mean_family_fdp,cal_bound,cal_loss
scoregate_pooled_emp,0.05,5.0,0.047979896691330445,0.010966493620843334,0.0038461538461538464,0.006272727272727273,0.006272727272727273
scoregate_pooled_emp,0.1,7.2,0.06143745362714825,0.01554152169894015,0.004849498327759197,0.014984848484848485,0.014984848484848485
scoregate_pooled_emp,0.15,12.2,0.11497660436349451,0.024765605270774035,0.01020066889632107,0.053404933841215696,0.053404933841215696
scoregate_pooled_emp,0.2,17.3,0.1536563579481574,0.03370533079540504,0.015384615384615385,0.09728518988780106,0.09728518988780106
