alpha,total_rejections,fp,tp,fdp,recall,threshold,seed,method
0.05,187,9,178,0.0481283422459893,0.3339587242026266,0.7242050766944885,0,score_oracle
0.1,254,25,229,0.0984251968503937,0.42964352720450283,0.6238628029823303,0,score_oracle
0.15,290,43,247,0.1482758620689655,0.4634146341463415,0.5805243253707886,0,score_oracle
0.2,347,69,278,0.1988472622478386,0.5215759849906192,0.4946445226669311,0,score_oracle
0.05,215,10,205,0.046511627906976744,0.37683823529411764,0.677474319934845,1,score_oracle
0.1,263,26,237,0.09885931558935361,0.43566176470588236,0.5873517990112305,1,score_oracle
0.15,311,46,265,0.14790996784565916,0.48713235294117646,0.503233015537262,1,score_oracle
0.2,355,71,284,0.2,0.5220588235294118,0.4575532674789428,1,score_oracle
0.05,273,13,260,0.047619047619047616,0.45936395759717313,0.6429925560951233,2,score_oracle
0.1,344,34,310,0.09883720930232558,0.5477031802120141,0.5171618461608887,2,score_oracle
0.15,374,56,318,0.1497326203208556,0.5618374558303887,0.4852102994918823,2,score_oracle
0.2,425,85,340,0.2,0.6007067137809188,0.428655743598938,2,score_oracle
0.05,243,12,231,0.04938271604938271,0.4003466204506066,0.6633614897727966,3,score_oracle
0.1,300,30,270,0.1,0.4679376083188908,0.5825624465942383,3,score_oracle
0.15,341,51,290,0.1495601173020528,0.5025996533795494,0.5144665837287903,3,score_oracle
0.2,385,77,308,0.2,0.5337954939341422,0.4668301343917846,3,score_oracle
0.05,230,11,219,0.04782608695652174,0.40331491712707185,0.6701036691665649,4,score_oracle
0.1,295,29,266,0.09830508474576272,0.48987108655616945,0.5876333117485046,4,score_oracle
0.15,345,51,294,0.14782608695652175,0.5414364640883977,0.5045448541641235,4,score_oracle
0.2,390,78,312,0.2,0.574585635359116,0.4456477761268616,4,score_oracle
