method,alpha,total_rejections,fdp,recall,threshold
score_oracle,0.05,229.6,0.04789356415558362,0.3947644909343192,0.6756274223327636
score_oracle,0.1,291.2,0.09888536129756711,0.4741634333994919,0.5797144412994385
score_oracle,0.15,332.2,0.14866093089881097,0.5112841120771707,0.5175958156585694
score_oracle,0.2,380.4,0.19976945244956773,0.5505445303188415,0.4586662888526917
