method,alpha,total_rejections,fdp,recall
betting,0.05,147.2,0.04053437405555506,0.255315014626878
betting,0.1,197.4,0.05893677664717485,0.3355750506756405
betting,0.15,220.6,0.07611628059902212,0.36819101733175374
betting,0.2,238.6,0.09210806907331541,0.3917664866052667
binary,0.05,0.0,0.0,0.0
binary,0.1,0.0,0.0,0.0
binary,0.15,0.0,0.0,0.0
binary,0.2,0.0,0.0,0.0
pvalue_bh,0.05,303.4,0.1666838837644693,0.457309793570824
pvalue_bh,0.1,382.6,0.2348794039372349,0.5298463787082042
pvalue_bh,0.15,452.2,0.2996253959684809,0.5733482448370321
pvalue_bh,0.2,516.6,0.35165449384597697,0.6062012360974347
