seed,template,own_model,cal_null_count,phi_max,loo_mean_pertemplate,loo_mean_global_model,cross_template_loo
0,a {cat} object,True,464,70.54054054054055,1.0000000000000002,1.0,1.0
0,other,False,1669,13.023583131882889,1.0,1.0,0.9999999999999999
0,a {cat} in the scene,False,2515,13.023583131882889,1.0000000000000002,1.0000000000000002,0.9999999999999999
0,a visible {cat} in the scene,True,347,8.082191780821917,0.9999999999999999,1.0,1.0
0,a photo of a {cat},True,409,9.241121495327103,1.0,1.0,1.0
0,the {cat},True,273,5.221698113207547,0.9999999999999998,1.0000000000000002,1.0
0,a small {cat} near the center,False,2509,13.023583131882889,1.0,1.0,0.9999999999999999
1,a {cat} object,True,394,120.94712643678162,0.9999999999999999,1.0,1.0000000000000002
1,other,False,1639,13.30422140120416,1.0000000000000002,1.0000000000000002,1.0
1,a {cat} in the scene,False,2682,13.30422140120416,1.0,1.0,1.0
1,a visible {cat} in the scene,True,427,22.190687361419066,0.9999999999999999,1.0,0.9999999999999999
1,a photo of a {cat},True,352,10.583213429256595,1.0,1.0,1.0
1,the {cat},True,215,36.38297872340426,0.9999999999999999,1.0,1.0000000000000002
1,a small {cat} near the center,False,2412,13.30422140120416,1.0,1.0,1.0
2,a {cat} object,True,468,25.347517730496453,1.0,0.9999999999999998,1.0000000000000002
2,other,False,1656,11.568975367140506,1.0,1.0,0.9999999999999998
2,a {cat} in the scene,False,1806,11.568975367140506,1.0,1.0,0.9999999999999998
2,a visible {cat} in the scene,True,290,19.785867237687366,1.0,0.9999999999999998,0.9999999999999999
2,a photo of a {cat},True,408,12.496753246753245,0.9999999999999999,1.0,1.0
2,the {cat},True,202,6.7377049180327875,1.0,1.0,0.9999999999999999
2,a small {cat} near the center,False,3057,11.568975367140506,1.0,1.0,0.9999999999999998
3,a {cat} object,True,964,96.71837708830549,1.0,1.0,1.0
3,other,False,1232,12.633155183205739,1.0,1.0,1.0
3,a {cat} in the scene,False,2802,12.633155183205739,1.0,1.0,1.0
3,a visible {cat} in the scene,True,294,25.17703862660944,1.0,1.0,1.0000000000000002
3,a photo of a {cat},True,512,7.87243735763098,1.0,1.0,1.0000000000000002
