seed,alpha,strategy,rejections,fdp,recall,mean_family_fdp,pass,config
8,0.05,pertemplate,19,0.05263157894736842,0.03696098562628337,0.0033444816053511705,0,isotonic_clip500
8,0.1,pertemplate,24,0.041666666666666664,0.04722792607802875,0.0033444816053511705,1,isotonic_clip500
8,0.15,pertemplate,29,0.06896551724137931,0.055441478439425054,0.006688963210702341,1,isotonic_clip500
8,0.2,pertemplate,31,0.06451612903225806,0.059548254620123205,0.006688963210702341,1,isotonic_clip500
8,0.05,global,0,0.0,0.0,0.0,1,isotonic_clip500
8,0.1,global,0,0.0,0.0,0.0,1,isotonic_clip500
8,0.15,global,0,0.0,0.0,0.0,1,isotonic_clip500
8,0.2,global,11,0.09090909090909091,0.02053388090349076,0.0033444816053511705,1,isotonic_clip500
9,0.05,pertemplate,22,0.09090909090909091,0.05509641873278237,0.006688963210702341,0,isotonic_clip500
9,0.1,pertemplate,24,0.08333333333333333,0.06060606060606061,0.006688963210702341,1,isotonic_clip500
9,0.15,pertemplate,27,0.07407407407407407,0.06887052341597796,0.006688963210702341,1,isotonic_clip500
9,0.2,pertemplate,27,0.07407407407407407,0.06887052341597796,0.006688963210702341,1,isotonic_clip500
9,0.05,global,0,0.0,0.0,0.0,1,isotonic_clip500
9,0.1,global,0,0.0,0.0,0.0,1,isotonic_clip500
9,0.15,global,7,0.42857142857142855,0.011019283746556474,0.010033444816053512,0,isotonic_clip500
9,0.2,global,7,0.42857142857142855,0.011019283746556474,0.010033444816053512,0,isotonic_clip500
10,0.05,pertemplate,24,0.0,0.07430340557275542,0.0,1,isotonic_clip500
10,0.1,pertemplate,28,0.0,0.08668730650154799,0.0,1,isotonic_clip500
10,0.15,pertemplate,34,0.029411764705882353,0.1021671826625387,0.0033444816053511705,1,isotonic_clip500
10,0.2,pertemplate,36,0.05555555555555555,0.10526315789473684,0.006688963210702341,1,isotonic_clip500
10,0.05,global,0,0.0,0.0,0.0,1,isotonic_clip500
10,0.1,global,1,0.0,0.0030959752321981426,0.0,1,isotonic_clip500
10,0.15,global,1,0.0,0.0030959752321981426,0.0,1,isotonic_clip500
10,0.2,global,11,0.18181818181818182,0.02786377708978328,0.006688963210702341,1,isotonic_clip500
11,0.05,pertemplate,14,0.0,0.0374331550802139,0.0,1,isotonic_clip500
11,0.1,pertemplate,18,0.0,0.0481283422459893,0.0,1,isotonic_clip500
11,0.15,pertemplate,23,0.043478260869565216,0.058823529411764705,0.0033444816053511705,1,isotonic_clip500
11,0.2,pertemplate,24,0.041666666666666664,0.06149732620320856,0.0033444816053511705,1,isotonic_clip500
11,0.05,global,0,0.0,0.0,0.0,1,isotonic_clip500
11,0.1,global,0,0.0,0.0,0.0,1,isotonic_clip500
