seed,alpha,strategy,rejections,fdp,recall,mean_family_fdp,max_evalue
0,0.05,global,0,0.0,0.0,0.0,13.591243505913454
0,0.1,global,0,0.0,0.0,0.0,13.591243505913454
0,0.15,global,8,0.25,0.013761467889908258,0.006688963210702341,13.591243505913454
0,0.2,global,8,0.25,0.013761467889908258,0.006688963210702341,13.591243505913454
0,0.05,pertemplate_phi_local_Cm,1,0.0,0.0022935779816513763,0.0,59.001333690097944
0,0.1,pertemplate_phi_local_Cm,7,0.0,0.016055045871559634,0.0,59.001333690097944
0,0.15,pertemplate_phi_local_Cm,20,0.05,0.04357798165137615,0.0033444816053511705,59.001333690097944
0,0.2,pertemplate_phi_local_Cm,24,0.125,0.0481651376146789,0.010033444816053512,59.001333690097944
0,0.05,pertemplate_phi_global_Cm,1,0.0,0.0022935779816513763,0.0,73.07940866947324
0,0.1,pertemplate_phi_global_Cm,9,0.0,0.020642201834862386,0.0,73.07940866947324
0,0.15,pertemplate_phi_global_Cm,22,0.13636363636363635,0.04357798165137615,0.010033444816053512,73.07940866947324
0,0.2,pertemplate_phi_global_Cm,27,0.1111111111111111,0.05504587155963303,0.010033444816053512,73.07940866947324
1,0.05,global,0,0.0,0.0,0.0,13.432616570528666
1,0.1,global,1,1.0,0.0,0.0033444816053511705,13.432616570528666
1,0.15,global,8,0.375,0.011655011655011656,0.010033444816053512,13.432616570528666
1,0.2,global,8,0.375,0.011655011655011656,0.010033444816053512,13.432616570528666
1,0.05,pertemplate_phi_local_Cm,2,0.0,0.004662004662004662,0.0,77.62519225358761
1,0.1,pertemplate_phi_local_Cm,10,0.1,0.02097902097902098,0.0033444816053511705,77.62519225358761
1,0.15,pertemplate_phi_local_Cm,22,0.09090909090909091,0.046620046620046623,0.006688963210702341,77.62519225358761
1,0.2,pertemplate_phi_local_Cm,27,0.14814814814814814,0.053613053613053616,0.013377926421404682,77.62519225358761
1,0.05,pertemplate_phi_global_Cm,3,0.0,0.006993006993006993,0.0,120.50189747343623
1,0.1,pertemplate_phi_global_Cm,16,0.125,0.03263403263403263,0.006688963210702341,120.50189747343623
1,0.15,pertemplate_phi_global_Cm,27,0.14814814814814814,0.053613053613053616,0.013377926421404682,120.50189747343623
1,0.2,pertemplate_phi_global_Cm,29,0.13793103448275862,0.05827505827505827,0.013377926421404682,120.50189747343623
2,0.05,global,0,0.0,0.0,0.0,11.44572314744707
2,0.1,global,0,0.0,0.0,0.0,11.44572314744707
2,0.15,global,0,0.0,0.0,0.0,11.44572314744707
2,0.2,global,9,0.1111111111111111,0.022099447513812154,0.0033444816053511705,11.44572314744707
2,0.05,pertemplate_phi_local_Cm,0,0.0,0.0,0.0,34.596477525273656
2,0.1,pertemplate_phi_local_Cm,6,0.0,0.016574585635359115,0.0,34.596477525273656
2,0.15,pertemplate_phi_local_Cm,12,0.0,0.03314917127071823,0.0,34.596477525273656
2,0.2,pertemplate_phi_local_Cm,19,0.0,0.052486187845303865,0.0,34.596477525273656
2,0.05,pertemplate_phi_global_Cm,0,0.0,0.0,0.0,37.20708156820421
2,0.1,pertemplate_phi_global_Cm,11,0.0,0.03038674033149171,0.0,37.20708156820421
2,0.15,pertemplate_phi_global_Cm,16,0.0,0.04419889502762431,0.0,37.20708156820421
2,0.2,pertemplate_phi_global_Cm,21,0.047619047619047616,0.055248618784530384,0.0033444816053511705,37.20708156820421
3,0.05,global,0,0.0,0.0,0.0,13.271461827609851
3,0.1,global,1,1.0,0.0,0.0033444816053511705,13.271461827609851
3,0.15,global,1,1.0,0.0,0.0033444816053511705,13.271461827609851
