seed,alpha,strategy,rejections,fdp,recall,mean_family_fdp,max_evalue
3,0.2,global,10,0.5,0.015723270440251572,0.016722408026755852,13.271461827609851
3,0.05,pertemplate_phi_local_Cm,4,0.0,0.012578616352201259,0.0,85.15800445659026
3,0.1,pertemplate_phi_local_Cm,15,0.13333333333333333,0.040880503144654086,0.006688963210702341,85.15800445659026
3,0.15,pertemplate_phi_local_Cm,21,0.19047619047619047,0.05345911949685535,0.013377926421404682,85.15800445659026
3,0.2,pertemplate_phi_local_Cm,26,0.15384615384615385,0.06918238993710692,0.013377926421404682,85.15800445659026
3,0.05,pertemplate_phi_global_Cm,5,0.0,0.015723270440251572,0.0,100.61688990648886
3,0.1,pertemplate_phi_global_Cm,17,0.17647058823529413,0.0440251572327044,0.010033444816053512,100.61688990648886
3,0.15,pertemplate_phi_global_Cm,21,0.14285714285714285,0.05660377358490566,0.010033444816053512,100.61688990648886
3,0.2,pertemplate_phi_global_Cm,31,0.22580645161290322,0.07547169811320754,0.023411371237458192,100.61688990648886
4,0.05,global,0,0.0,0.0,0.0,13.825410347548202
4,0.1,global,1,1.0,0.0,0.0033444816053511705,13.825410347548202
4,0.15,global,12,0.3333333333333333,0.019417475728155338,0.013377926421404682,13.825410347548202
4,0.2,global,12,0.3333333333333333,0.019417475728155338,0.013377926421404682,13.825410347548202
4,0.05,pertemplate_phi_local_Cm,3,0.0,0.007281553398058253,0.0,47.625799825868704
4,0.1,pertemplate_phi_local_Cm,17,0.11764705882352941,0.03640776699029126,0.006688963210702341,47.625799825868704
4,0.15,pertemplate_phi_local_Cm,20,0.15,0.0412621359223301,0.010033444816053512,47.625799825868704
4,0.2,pertemplate_phi_local_Cm,26,0.19230769230769232,0.050970873786407765,0.016722408026755852,47.625799825868704
4,0.05,pertemplate_phi_global_Cm,5,0.0,0.012135922330097087,0.0,54.190088849771165
4,0.1,pertemplate_phi_global_Cm,18,0.1111111111111111,0.038834951456310676,0.006688963210702341,54.190088849771165
4,0.15,pertemplate_phi_global_Cm,24,0.20833333333333334,0.04611650485436893,0.016722408026755852,54.190088849771165
4,0.2,pertemplate_phi_global_Cm,26,0.19230769230769232,0.050970873786407765,0.016722408026755852,54.190088849771165
5,0.05,global,0,0.0,0.0,0.0,13.919898049688749
5,0.1,global,0,0.0,0.0,0.0,13.919898049688749
5,0.15,global,4,0.25,0.007957559681697613,0.0033444816053511705,13.919898049688749
5,0.2,global,4,0.25,0.007957559681697613,0.0033444816053511705,13.919898049688749
5,0.05,pertemplate_phi_local_Cm,3,0.0,0.007957559681697613,0.0,48.34391387995696
5,0.1,pertemplate_phi_local_Cm,4,0.0,0.010610079575596816,0.0,48.34391387995696
5,0.15,pertemplate_phi_local_Cm,8,0.0,0.021220159151193633,0.0,48.34391387995696
5,0.2,pertemplate_phi_local_Cm,12,0.0,0.03183023872679045,0.0,48.34391387995696
5,0.05,pertemplate_phi_global_Cm,3,0.0,0.007957559681697613,0.0,50.88314113762841
5,0.1,pertemplate_phi_global_Cm,4,0.0,0.010610079575596816,0.0,50.88314113762841
5,0.15,pertemplate_phi_global_Cm,9,0.1111111111111111,0.021220159151193633,0.0033444816053511705,50.88314113762841
5,0.2,pertemplate_phi_global_Cm,14,0.07142857142857142,0.034482758620689655,0.0033444816053511705,50.88314113762841
6,0.05,global,0,0.0,0.0,0.0,12.823496576355254
6,0.1,global,1,0.0,0.002380952380952381,0.0,12.823496576355254
6,0.15,global,1,0.0,0.002380952380952381,0.0,12.823496576355254
6,0.2,global,7,0.0,0.016666666666666666,0.0,12.823496576355254
6,0.05,pertemplate_phi_local_Cm,0,0.0,0.0,0.0,32.46985892724715
6,0.1,pertemplate_phi_local_Cm,7,0.0,0.016666666666666666,0.0,32.46985892724715
6,0.15,pertemplate_phi_local_Cm,11,0.0,0.02619047619047619,0.0,32.46985892724715
6,0.2,pertemplate_phi_local_Cm,18,0.0,0.04285714285714286,0.0,32.46985892724715
6,0.05,pertemplate_phi_global_Cm,0,0.0,0.0,0.0,36.34370433281249
6,0.1,pertemplate_phi_global_Cm,8,0.0,0.01904761904761905,0.0,36.34370433281249
6,0.15,pertemplate_phi_global_Cm,15,0.0,0.03571428571428571,0.0,36.34370433281249
6,0.2,pertemplate_phi_global_Cm,21,0.0,0.05,0.0,36.34370433281249
7,0.05,global,0,0.0,0.0,0.0,13.799217565784708
7,0.1,global,1,0.0,0.0021551724137931034,0.0,13.799217565784708
7,0.15,global,5,0.0,0.010775862068965518,0.0,13.799217565784708
7,0.2,global,5,0.0,0.010775862068965518,0.0,13.799217565784708
7,0.05,pertemplate_phi_local_Cm,1,0.0,0.0021551724137931034,0.0,46.0045004702522
7,0.1,pertemplate_phi_local_Cm,5,0.2,0.008620689655172414,0.0033444816053511705,46.0045004702522
7,0.15,pertemplate_phi_local_Cm,15,0.06666666666666667,0.03017241379310345,0.0033444816053511705,46.0045004702522
7,0.2,pertemplate_phi_local_Cm,24,0.08333333333333333,0.04741379310344827,0.006688963210702341,46.0045004702522
7,0.05,pertemplate_phi_global_Cm,1,0.0,0.0021551724137931034,0.0,68.60947801889185
7,0.1,pertemplate_phi_global_Cm,8,0.125,0.015086206896551725,0.0033444816053511705,68.60947801889185
7,0.15,pertemplate_phi_global_Cm,16,0.0625,0.032327586206896554,0.0033444816053511705,68.60947801889185
7,0.2,pertemplate_phi_global_Cm,25,0.08,0.04956896551724138,0.006688963210702341,68.60947801889185
8,0.05,global,0,0.0,0.0,0.0,12.070969584489141
8,0.1,global,0,0.0,0.0,0.0,12.070969584489141
8,0.15,global,0,0.0,0.0,0.0,12.070969584489141
8,0.2,global,11,0.09090909090909091,0.02053388090349076,0.0033444816053511705,12.070969584489141
8,0.05,pertemplate_phi_local_Cm,2,0.0,0.004106776180698152,0.0,46.82476516150644
8,0.1,pertemplate_phi_local_Cm,11,0.0,0.022587268993839837,0.0,46.82476516150644
8,0.15,pertemplate_phi_local_Cm,20,0.1,0.03696098562628337,0.006688963210702341,46.82476516150644
8,0.2,pertemplate_phi_local_Cm,23,0.13043478260869565,0.04106776180698152,0.008361204013377926,46.82476516150644
8,0.05,pertemplate_phi_global_Cm,2,0.0,0.004106776180698152,0.0,55.15491628052017
8,0.1,pertemplate_phi_global_Cm,16,0.0,0.03285420944558522,0.0,55.15491628052017
8,0.15,pertemplate_phi_global_Cm,21,0.047619047619047616,0.04106776180698152,0.0033444816053511705,55.15491628052017
8,0.2,pertemplate_phi_global_Cm,22,0.09090909090909091,0.04106776180698152,0.006688963210702341,55.15491628052017
9,0.05,global,0,0.0,0.0,0.0,13.401441730997734
9,0.1,global,0,0.0,0.0,0.0,13.401441730997734
9,0.15,global,7,0.42857142857142855,0.011019283746556474,0.010033444816053512,13.401441730997734
9,0.2,global,7,0.42857142857142855,0.011019283746556474,0.010033444816053512,13.401441730997734
9,0.05,pertemplate_phi_local_Cm,1,0.0,0.0027548209366391185,0.0,45.725460439563314
9,0.1,pertemplate_phi_local_Cm,7,0.14285714285714285,0.01652892561983471,0.0033444816053511705,45.725460439563314
9,0.15,pertemplate_phi_local_Cm,11,0.09090909090909091,0.027548209366391185,0.0033444816053511705,45.725460439563314
9,0.2,pertemplate_phi_local_Cm,14,0.07142857142857142,0.03581267217630854,0.0033444816053511705,45.725460439563314
9,0.05,pertemplate_phi_global_Cm,1,0.0,0.0027548209366391185,0.0,55.788210804753675
9,0.1,pertemplate_phi_global_Cm,8,0.125,0.01928374655647383,0.0033444816053511705,55.788210804753675
9,0.15,pertemplate_phi_global_Cm,14,0.2857142857142857,0.027548209366391185,0.013377926421404682,55.788210804753675
9,0.2,pertemplate_phi_global_Cm,19,0.21052631578947367,0.04132231404958678,0.013377926421404682,55.788210804753675
10,0.05,global,0,0.0,0.0,0.0,11.053369291547032
10,0.1,global,1,0.0,0.0030959752321981426,0.0,11.053369291547032
10,0.15,global,1,0.0,0.0030959752321981426,0.0,11.053369291547032
10,0.2,global,11,0.18181818181818182,0.02786377708978328,0.006688963210702341,11.053369291547032
10,0.05,pertemplate_phi_local_Cm,0,0.0,0.0,0.0,31.457118621496278
10,0.1,pertemplate_phi_local_Cm,12,0.0,0.03715170278637771,0.0,31.457118621496278
10,0.15,pertemplate_phi_local_Cm,17,0.0,0.05263157894736842,0.0,31.457118621496278
10,0.2,pertemplate_phi_local_Cm,24,0.0,0.07430340557275542,0.0,31.457118621496278
10,0.05,pertemplate_phi_global_Cm,0,0.0,0.0,0.0,34.65961274767327
10,0.1,pertemplate_phi_global_Cm,12,0.0,0.03715170278637771,0.0,34.65961274767327
10,0.15,pertemplate_phi_global_Cm,17,0.0,0.05263157894736842,0.0,34.65961274767327
10,0.2,pertemplate_phi_global_Cm,26,0.07692307692307693,0.07430340557275542,0.006688963210702341,34.65961274767327
11,0.05,global,0,0.0,0.0,0.0,14.706183385460573
11,0.1,global,0,0.0,0.0,0.0,14.706183385460573
11,0.15,global,4,0.0,0.0106951871657754,0.0,14.706183385460573
11,0.2,global,4,0.0,0.0106951871657754,0.0,14.706183385460573
11,0.05,pertemplate_phi_local_Cm,1,0.0,0.00267379679144385,0.0,75.15254080399104
11,0.1,pertemplate_phi_local_Cm,6,0.0,0.016042780748663103,0.0,75.15254080399104
11,0.15,pertemplate_phi_local_Cm,16,0.0,0.0427807486631016,0.0,75.15254080399104
11,0.2,pertemplate_phi_local_Cm,16,0.0,0.0427807486631016,0.0,75.15254080399104
11,0.05,pertemplate_phi_global_Cm,1,0.0,0.00267379679144385,0.0,89.94545646226763
11,0.1,pertemplate_phi_global_Cm,12,0.0,0.03208556149732621,0.0,89.94545646226763
11,0.15,pertemplate_phi_global_Cm,16,0.0,0.0427807486631016,0.0,89.94545646226763
11,0.2,pertemplate_phi_global_Cm,16,0.0,0.0427807486631016,0.0,89.94545646226763
12,0.05,global,0,0.0,0.0,0.0,10.656403933015987
12,0.1,global,0,0.0,0.0,0.0,10.656403933015987
12,0.15,global,0,0.0,0.0,0.0,10.656403933015987
12,0.2,global,11,0.2727272727272727,0.02373887240356083,0.010033444816053512,10.656403933015987
12,0.05,pertemplate_phi_local_Cm,6,0.0,0.017804154302670624,0.0,53.82287046723203
12,0.1,pertemplate_phi_local_Cm,18,0.05555555555555555,0.050445103857566766,0.0033444816053511705,53.82287046723203
12,0.15,pertemplate_phi_local_Cm,28,0.07142857142857142,0.0771513353115727,0.006688963210702341,53.82287046723203
12,0.2,pertemplate_phi_local_Cm,31,0.0967741935483871,0.0830860534124629,0.010033444816053512,53.82287046723203
12,0.05,pertemplate_phi_global_Cm,11,0.09090909090909091,0.02967359050445104,0.0033444816053511705,72.2574752243399
12,0.1,pertemplate_phi_global_Cm,20,0.05,0.05637982195845697,0.0033444816053511705,72.2574752243399
12,0.15,pertemplate_phi_global_Cm,28,0.07142857142857142,0.0771513353115727,0.006688963210702341,72.2574752243399
12,0.2,pertemplate_phi_global_Cm,35,0.14285714285714285,0.08902077151335312,0.016722408026755852,72.2574752243399
13,0.05,global,0,0.0,0.0,0.0,13.458301747279794
13,0.1,global,0,0.0,0.0,0.0,13.458301747279794
13,0.15,global,6,0.5,0.006666666666666667,0.010033444816053512,13.458301747279794
13,0.2,global,6,0.5,0.006666666666666667,0.010033444816053512,13.458301747279794
13,0.05,pertemplate_phi_local_Cm,1,0.0,0.0022222222222222222,0.0,47.191766252996885
13,0.1,pertemplate_phi_local_Cm,7,0.0,0.015555555555555555,0.0,47.191766252996885
13,0.15,pertemplate_phi_local_Cm,14,0.07142857142857142,0.028888888888888888,0.0033444816053511705,47.191766252996885
13,0.2,pertemplate_phi_local_Cm,22,0.22727272727272727,0.03777777777777778,0.016722408026755852,47.191766252996885
13,0.05,pertemplate_phi_global_Cm,1,0.0,0.0022222222222222222,0.0,57.404103947215184
13,0.1,pertemplate_phi_global_Cm,11,0.09090909090909091,0.022222222222222223,0.0033444816053511705,57.404103947215184
13,0.15,pertemplate_phi_global_Cm,21,0.23809523809523808,0.035555555555555556,0.016722408026755852,57.404103947215184
13,0.2,pertemplate_phi_global_Cm,24,0.20833333333333334,0.042222222222222223,0.016722408026755852,57.404103947215184
14,0.05,global,0,0.0,0.0,0.0,13.301454092622517
14,0.1,global,0,0.0,0.0,0.0,13.301454092622517
14,0.15,global,0,0.0,0.0,0.0,13.301454092622517
14,0.2,global,5,0.2,0.012012012012012012,0.0033444816053511705,13.301454092622517
14,0.05,pertemplate_phi_local_Cm,0,0.0,0.0,0.0,38.24321138062982
14,0.1,pertemplate_phi_local_Cm,7,0.0,0.021021021021021023,0.0,38.24321138062982
14,0.15,pertemplate_phi_local_Cm,15,0.0,0.04504504504504504,0.0,38.24321138062982
14,0.2,pertemplate_phi_local_Cm,21,0.047619047619047616,0.06006006006006006,0.0033444816053511705,38.24321138062982
14,0.05,pertemplate_phi_global_Cm,0,0.0,0.0,0.0,40.851549946445374
14,0.1,pertemplate_phi_global_Cm,12,0.0,0.036036036036036036,0.0,40.851549946445374
14,0.15,pertemplate_phi_global_Cm,21,0.047619047619047616,0.06006006006006006,0.0033444816053511705,40.851549946445374
14,0.2,pertemplate_phi_global_Cm,25,0.08,0.06906906906906907,0.006688963210702341,40.851549946445374
15,0.05,global,0,0.0,0.0,0.0,11.520459316642517
15,0.1,global,1,1.0,0.0,0.0033444816053511705,11.520459316642517
15,0.15,global,1,1.0,0.0,0.0033444816053511705,11.520459316642517
15,0.2,global,11,0.36363636363636365,0.01583710407239819,0.013377926421404682,11.520459316642517
15,0.05,pertemplate_phi_local_Cm,1,0.0,0.0022624434389140274,0.0,62.26936270686025
15,0.1,pertemplate_phi_local_Cm,11,0.09090909090909091,0.02262443438914027,0.0033444816053511705,62.26936270686025
15,0.15,pertemplate_phi_local_Cm,21,0.09523809523809523,0.042986425339366516,0.006688963210702341,62.26936270686025
15,0.2,pertemplate_phi_local_Cm,26,0.11538461538461539,0.05203619909502263,0.010033444816053512,62.26936270686025
15,0.05,pertemplate_phi_global_Cm,7,0.0,0.01583710407239819,0.0,65.68815834790125
15,0.1,pertemplate_phi_global_Cm,16,0.125,0.03167420814479638,0.006688963210702341,65.68815834790125
15,0.15,pertemplate_phi_global_Cm,23,0.08695652173913043,0.04751131221719457,0.006688963210702341,65.68815834790125
15,0.2,pertemplate_phi_global_Cm,31,0.16129032258064516,0.058823529411764705,0.016722408026755852,65.68815834790125
16,0.05,global,0,0.0,0.0,0.0,13.380858974903775
16,0.1,global,0,0.0,0.0,0.0,13.380858974903775
16,0.15,global,12,0.25,0.019823788546255508,0.010033444816053512,13.380858974903775
16,0.2,global,12,0.25,0.019823788546255508,0.010033444816053512,13.380858974903775
16,0.05,pertemplate_phi_local_Cm,3,0.0,0.006607929515418502,0.0,50.24164471794761
16,0.1,pertemplate_phi_local_Cm,13,0.07692307692307693,0.02643171806167401,0.0033444816053511705,50.24164471794761
16,0.15,pertemplate_phi_local_Cm,21,0.09523809523809523,0.04185022026431718,0.006688963210702341,50.24164471794761
16,0.2,pertemplate_phi_local_Cm,23,0.08695652173913043,0.046255506607929514,0.006688963210702341,50.24164471794761
16,0.05,pertemplate_phi_global_Cm,8,0.0,0.01762114537444934,0.0,52.26221695391204
16,0.1,pertemplate_phi_global_Cm,17,0.058823529411764705,0.03524229074889868,0.0033444816053511705,52.26221695391204
16,0.15,pertemplate_phi_global_Cm,25,0.2,0.04405286343612335,0.016722408026755852,52.26221695391204
16,0.2,pertemplate_phi_global_Cm,27,0.18518518518518517,0.048458149779735685,0.016722408026755852,52.26221695391204
17,0.05,global,0,0.0,0.0,0.0,12.957087376401544
17,0.1,global,1,1.0,0.0,0.0033444816053511705,12.957087376401544
17,0.15,global,1,1.0,0.0,0.0033444816053511705,12.957087376401544
17,0.2,global,7,0.5714285714285714,0.007653061224489796,0.013377926421404682,12.957087376401544
17,0.05,pertemplate_phi_local_Cm,1,0.0,0.002551020408163265,0.0,57.41439335451636
17,0.1,pertemplate_phi_local_Cm,6,0.0,0.015306122448979591,0.0,57.41439335451636
17,0.15,pertemplate_phi_local_Cm,12,0.08333333333333333,0.02806122448979592,0.0033444816053511705,57.41439335451636
17,0.2,pertemplate_phi_local_Cm,16,0.125,0.03571428571428571,0.005016722408026756,57.41439335451636
17,0.05,pertemplate_phi_global_Cm,2,0.0,0.00510204081632653,0.0,63.31055580610769
17,0.1,pertemplate_phi_global_Cm,7,0.14285714285714285,0.015306122448979591,0.0033444816053511705,63.31055580610769
17,0.15,pertemplate_phi_global_Cm,12,0.08333333333333333,0.02806122448979592,0.0033444816053511705,63.31055580610769
17,0.2,pertemplate_phi_global_Cm,19,0.2631578947368421,0.03571428571428571,0.015050167224080268,63.31055580610769
18,0.05,global,0,0.0,0.0,0.0,13.824214556427288
18,0.1,global,1,0.0,0.0026595744680851063,0.0,13.824214556427288
18,0.15,global,6,0.3333333333333333,0.010638297872340425,0.006688963210702341,13.824214556427288
18,0.2,global,6,0.3333333333333333,0.010638297872340425,0.006688963210702341,13.824214556427288
18,0.05,pertemplate_phi_local_Cm,1,1.0,0.0,0.0033444816053511705,102.63405973871635
18,0.1,pertemplate_phi_local_Cm,10,0.2,0.02127659574468085,0.006688963210702341,102.63405973871635
18,0.15,pertemplate_phi_local_Cm,18,0.16666666666666666,0.0398936170212766,0.010033444816053512,102.63405973871635
18,0.2,pertemplate_phi_local_Cm,20,0.15,0.04521276595744681,0.010033444816053512,102.63405973871635
18,0.05,pertemplate_phi_global_Cm,1,1.0,0.0,0.0033444816053511705,138.28201608320896
18,0.1,pertemplate_phi_global_Cm,15,0.13333333333333333,0.034574468085106384,0.006688963210702341,138.28201608320896
18,0.15,pertemplate_phi_global_Cm,20,0.2,0.0425531914893617,0.013377926421404682,138.28201608320896
18,0.2,pertemplate_phi_global_Cm,22,0.18181818181818182,0.047872340425531915,0.013377926421404682,138.28201608320896
19,0.05,global,0,0.0,0.0,0.0,13.126475688994354
19,0.1,global,0,0.0,0.0,0.0,13.126475688994354
19,0.15,global,0,0.0,0.0,0.0,13.126475688994354
19,0.2,global,6,0.0,0.01125703564727955,0.0,13.126475688994354
19,0.05,pertemplate_phi_local_Cm,5,0.0,0.009380863039399626,0.0,47.88501236785509
19,0.1,pertemplate_phi_local_Cm,10,0.1,0.016885553470919325,0.0033444816053511705,47.88501236785509
19,0.15,pertemplate_phi_local_Cm,14,0.07142857142857142,0.024390243902439025,0.0033444816053511705,47.88501236785509
19,0.2,pertemplate_phi_local_Cm,16,0.0625,0.028142589118198873,0.0033444816053511705,47.88501236785509
19,0.05,pertemplate_phi_global_Cm,5,0.0,0.009380863039399626,0.0,48.57590910010129
19,0.1,pertemplate_phi_global_Cm,10,0.1,0.016885553470919325,0.0033444816053511705,48.57590910010129
19,0.15,pertemplate_phi_global_Cm,14,0.07142857142857142,0.024390243902439025,0.0033444816053511705,48.57590910010129
19,0.2,pertemplate_phi_global_Cm,16,0.0625,0.028142589118198873,0.0033444816053511705,48.57590910010129
