config,strategy,rejections,fdp,recall,mean_family_fdp
hist_40,pertemplate,11.8,0.04547711060868956,0.028139247315044608,0.0020066889632107026
hist_40,global,0.45,0.25,0.0005145837247514367,0.0008361204013377926
hist_80,pertemplate,9.45,0.060861262920086444,0.022432557060828685,0.002173913043478261
hist_80,global,0.45,0.25,0.0005145837247514367,0.0008361204013377926
hist_160,pertemplate,3.7,0.042142857142857135,0.008832297562582584,0.0006688963210702341
hist_160,global,0.45,0.25,0.0005145837247514367,0.0008361204013377926
hist_80_sm01,pertemplate,19.55,0.05572713071740533,0.04595985950342159,0.004180602006688963
hist_80_sm01,global,0.45,0.25,0.0005145837247514367,0.0008361204013377926
isotonic,pertemplate,24.4,0.05398910759956157,0.05809888816502947,0.005016722408026755
isotonic,global,0.45,0.25,0.0005145837247514367,0.0008361204013377926
logreg,pertemplate,12.45,0.04141865079365079,0.030430496271328728,0.0016722408026755853
logreg,global,0.45,0.25,0.0005145837247514367,0.0008361204013377926
