seed,template,own_model,fit_phi_max_pertemplate,fit_phi_max_global,phi_max_ratio,cal_C_m_local,cal_m_local,cal_C_m_global,cal_m_global
0,a {cat} object,True,70.54054054054055,13.023583131882889,5.416369660040103,485.4020000745426,464,7832.0330560442035,8186
0,other,False,13.023583131882889,13.023583131882889,1.0,1993.7311867201452,1669,7832.0330560442035,8186
0,a {cat} in the scene,False,13.023583131882889,13.023583131882889,1.0,2257.7102872688456,2515,7832.0330560442035,8186
0,a visible {cat} in the scene,True,25.59360730593607,13.023583131882889,1.9651740267454236,306.0729900399946,347,7832.0330560442035,8186
0,a photo of a {cat},True,9.241121495327103,13.023583131882889,0.7095682809981853,420.84473775503545,409,7832.0330560442035,8186
0,the {cat},True,30.169811320754715,13.023583131882889,2.316552289430728,236.8831486123939,273,7832.0330560442035,8186
0,a small {cat} near the center,False,13.023583131882889,13.023583131882889,1.0,2199.441015324925,2509,7832.0330560442035,8186
1,a {cat} object,True,120.94712643678162,13.30422140120416,9.090883471454763,494.4988847815772,394,8031.061941603731,8121
1,other,False,13.30422140120416,13.30422140120416,1.0,2055.1902862867364,1639,8031.061941603731,8121
1,a {cat} in the scene,False,13.30422140120416,13.30422140120416,1.0,2512.7521361821337,2682,8031.061941603731,8121
1,a visible {cat} in the scene,True,22.190687361419066,13.30422140120416,1.6679433310851695,432.3412274525515,427,8031.061941603731,8121
1,a photo of a {cat},True,10.583213429256595,13.30422140120416,0.7954778494815723,366.29282955767184,352,8031.061941603731,8121
1,the {cat},True,36.38297872340426,13.30422140120416,2.7346943219173463,247.55722127416658,215,8031.061941603731,8121
1,a small {cat} near the center,False,13.30422140120416,13.30422140120416,1.0,2073.0409475225897,2412,8031.061941603731,8121
2,a {cat} object,True,35.204885736800634,11.568975367140506,3.043042674011864,442.042874486699,468,7961.372228995178,7887
2,other,False,11.568975367140506,11.568975367140506,1.0,2192.091441248419,1656,7961.372228995178,7887
2,a {cat} in the scene,False,11.568975367140506,11.568975367140506,1.0,1652.861799708063,1806,7961.372228995178,7887
2,a visible {cat} in the scene,True,20.775160599571734,11.568975367140506,1.7957649610508863,344.82201988798187,290,7961.372228995178,7887
2,a photo of a {cat},True,12.496753246753245,11.568975367140506,1.0801953371123874,431.53198098415675,408,7961.372228995178,7887
2,the {cat},True,37.731147540983606,11.568975367140506,3.2614078899460552,215.94579846383127,202,7961.372228995178,7887
2,a small {cat} near the center,False,11.568975367140506,11.568975367140506,1.0,2740.423910348553,3057,7961.372228995178,7887
3,a {cat} object,True,96.71837708830549,12.633155183205739,7.655916173410182,999.2823392952247,964,8547.837879455636,8992
3,other,False,12.633155183205739,12.633155183205739,1.0,1703.7527785019497,1232,8547.837879455636,8992
3,a {cat} in the scene,False,12.633155183205739,12.633155183205739,1.0,2444.301408785922,2802,8547.837879455636,8992
3,a visible {cat} in the scene,True,55.65450643776825,12.633155183205739,4.405432026336083,301.54785889515125,294,8547.837879455636,8992
3,a photo of a {cat},True,7.87243735763098,12.633155183205739,0.6231568633065189,556.5558607080487,512,8547.837879455636,8992
3,the {cat},True,35.465753424657535,12.633155183205739,2.80735516269166,311.0491183550088,336,8547.837879455636,8992
3,a small {cat} near the center,False,12.633155183205739,12.633155183205739,1.0,2398.519417396138,2852,8547.837879455636,8992
4,a {cat} object,True,25.95744680851064,13.410026079397277,1.9356745956214663,748.5319461517447,771,7931.491488964775,8190
4,other,False,13.410026079397277,13.410026079397277,1.0,1916.8059923223343,1479,7931.491488964775,8190
4,a {cat} in the scene,False,13.410026079397277,13.410026079397277,1.0,2386.6947334691795,2666,7931.491488964775,8190
4,a visible {cat} in the scene,True,52.822695035460995,13.410026079397277,3.9390449148056503,342.0237852625969,355,7931.491488964775,8190
4,a photo of a {cat},True,9.853465346534655,13.410026079397277,0.7347834588982042,355.6046619182807,343,7931.491488964775,8190
4,the {cat},True,45.5028901734104,13.410026079397277,3.393199230486177,252.9507887103263,197,7931.491488964775,8190
4,a small {cat} near the center,False,13.410026079397277,13.410026079397277,1.0,2006.6202225629947,2379,7931.491488964775,8190
5,a {cat} object,True,43.20443349753695,14.206956102144733,3.041076018459341,619.9640153219852,668,8246.708625339968,8093
5,other,False,14.206956102144733,14.206956102144733,1.0,1931.4606646348743,1349,8246.708625339968,8093
5,a {cat} in the scene,False,14.206956102144733,14.206956102144733,1.0,2022.9071913682321,2137,8246.708625339968,8093
5,a visible {cat} in the scene,True,52.17112299465241,14.206956102144733,3.6722238472163973,538.1328467860475,546,8246.708625339968,8093
5,a photo of a {cat},True,7.862928348909657,14.206956102144733,0.5534562289329972,458.653679850056,428,8246.708625339968,8093
5,the {cat},True,26.600619195046438,14.206956102144733,1.8723658328915869,296.6907866814987,269,8246.708625339968,8093
5,a small {cat} near the center,False,14.206956102144733,14.206956102144733,1.0,2397.8948732435165,2696,8246.708625339968,8093
6,a {cat} object,True,35.46698872785829,12.47763936937928,2.8424438051075565,851.4846580763116,811,7842.788826310092,8072
6,other,False,12.47763936937928,12.47763936937928,1.0,2096.402919370438,1662,7842.788826310092,8072
6,a {cat} in the scene,False,12.47763936937928,12.47763936937928,1.0,1857.1149207744907,2178,7842.788826310092,8072
6,a visible {cat} in the scene,True,31.248979591836733,12.47763936937928,2.5043983614819973,229.3370590419156,200,7842.788826310092,8072
6,a photo of a {cat},True,5.853829160530191,12.47763936937928,0.46914556409570274,367.50805835243295,371,7842.788826310092,8072
6,the {cat},True,26.670846394984327,12.47763936937928,2.1374913639863524,213.2100206046131,220,7842.788826310092,8072
6,a small {cat} near the center,False,12.47763936937928,12.47763936937928,1.0,2320.055214719712,2630,7842.788826310092,8072
7,a {cat} object,True,69.2511013215859,13.830281476997579,5.007208380882473,213.74745132820834,187,7808.739832615386,7804
7,other,False,13.830281476997579,13.830281476997579,1.0,2108.6479466751744,1603,7808.739832615386,7804
7,a {cat} in the scene,False,13.830281476997579,13.830281476997579,1.0,1814.9500016377367,1856,7808.739832615386,7804
7,a visible {cat} in the scene,True,24.313953488372093,13.830281476997579,1.758023040153657,270.7168796490787,289,7808.739832615386,7804
7,a photo of a {cat},True,8.16822429906542,13.830281476997579,0.59060434255447,329.4756220838443,319,7808.739832615386,7804
7,the {cat},True,27.009523809523813,13.830281476997579,1.9529265441521095,310.86894970109256,341,7808.739832615386,7804
7,a small {cat} near the center,False,13.830281476997579,13.830281476997579,1.0,2752.4441059649544,3209,7808.739832615386,7804
8,a {cat} object,True,57.05380577427822,12.41307863351526,4.596265556574594,354.7835261416781,337,7529.44327855436,7333
